Municipality,Year,Population,Crime,Finance
Aa en Hunze,2016,25243,615,349
Aalburg,2016,13038,335,125
Aalsmeer,2016,31299,1195,770
Aalten,2016,26912,635,353
Achtkarspelen,2016,28007,760,247
Alblasserdam,2016,19955,730,203
Albrandswaard,2016,24985,1025,321
Alkmaar,2016,107615,6945,4699
Almelo,2016,72425,3985,950
Almere,2016,198145,11340,8737
Alphen aan den Rijn,2016,107960,4230,3587
Alphen-Chaam,2016,9924,325,179
Ameland,2016,3611,140,29
Amersfoort,2016,153602,8485,3523
Amstelveen,2016,88602,4280,2459
Amsterdam,2016,833624,91700,81118
Anna Paulowna,2016,0,0,
Apeldoorn,2016,159025,8300,4758
Appingedam,2016,12001,475,147
Arnhem,2016,153818,12700,6148
Assen,2016,67061,3750,1647
Asten,2016,16580,765,700
Baarle-Nassau,2016,6611,230,199
Baarn,2016,24521,1280,0
Barendrecht,2016,47861,2080,1122
Barneveld,2016,55441,2075,135
Bedum,2016,10433,200,0
Beek (L.),2016,16068,1030,382
Beemster,2016,8958,280,284
Beesel,2016,13388,445,174
Bellingwedde,2016,8971,205,145
Berg en Dal,2016,34574,1185,811
Bergambacht,2016,0,0,
Bergeijk,2016,18253,595,484
Bergen (L.),2016,13090,420,339
Bergen (NH.),2016,29943,1190,1077
Bergen op Zoom,2016,66237,3885,2541
Berkelland,2016,44437,1070,102
Bernheze,2016,29880,1045,627
Bernisse,2016,0,0,
Best,2016,28976,1310,1060
Beuningen,2016,25289,890,250
Beverwijk,2016,40318,2340,1697
het Bildt,2016,10525,265,173
De Bilt,2016,42375,1705,69
Binnenmaas,2016,28771,735,437
Bladel,2016,19966,850,534
Blaricum,2016,9622,520,467
Bloemendaal,2016,22296,1030,492
Boarnsterhim,2016,0,0,
Bodegraven-Reeuwijk,2016,33451,1460,426
Boekel,2016,10254,310,100
Ten Boer,2016,7352,155,91
Borger-Odoorn,2016,25371,595,284
Borne,2016,22343,670,0
Borsele,2016,22612,490,486
Boskoop,2016,0,0,
