Municipality,Year,Population,Crime,Finance
Boxmeer,2016,28465,1035,1573
Boxtel,2016,30406,1440,640
Breda,2016,181611,12795,11865
Brielle,2016,16640,640,481
Bronckhorst,2016,36510,765,67
Brummen,2016,20938,625,543
Brunssum,2016,28448,1770,1206
Bunnik,2016,14773,610,244
Bunschoten,2016,20823,645,429
Buren,2016,26202,760,2049
Bussum,2016,0,0,
Capelle aan den IJssel,2016,66486,3430,0
Castricum,2016,34604,1240,732
Coevorden,2016,35381,1300,209
Cranendonck,2016,20660,890,684
Cromstrijen,2016,12755,350,300
Cuijk,2016,24608,985,1881
Culemborg,2016,27644,1630,1389
Dalfsen,2016,27916,475,505
Dantumadiel,2016,19015,400,513
Delft,2016,101034,6570,1149
Delfzijl,2016,25068,1120,741
Deurne,2016,31878,1310,621
Deventer,2016,98869,5570,1960
Diemen,2016,26840,1645,0
Dinkelland,2016,26120,505,763
Dirksland,2016,0,0,
Doesburg,2016,11336,500,308
Doetinchem,2016,56827,2350,893
Dongen,2016,25413,1040,425
Dongeradeel,2016,23932,590,456
Dordrecht,2016,118801,7305,5990
Drechterland,2016,19400,510,505
Drimmelen,2016,26815,790,884
Dronten,2016,40592,1725,0
Druten,2016,18407,675,292
Duiven,2016,25433,915,497
Echt-Susteren,2016,31943,1265,1010
Edam-Volendam,2016,35465,790,363
Ede,2016,112427,5360,5254
Eemnes,2016,8877,340,238
Eemsmond,2016,15815,440,0
Eersel,2016,18551,855,363
Eijsden-Margraten,2016,25123,780,136
Eindhoven,2016,224755,21485,11846
Elburg,2016,22929,680,399
Emmen,2016,107584,4770,1678
Enkhuizen,2016,18455,975,759
Enschede,2016,158351,11005,238
Epe,2016,32282,1165,1057
Ermelo,2016,26507,1350,789
Etten-Leur,2016,42832,2140,1173
Ferwerderadiel,2016,8701,175,96
Franekeradeel,2016,20265,615,371
De Friese Meren,2016,0,0,
De Fryske Marren,2016,51265,1710,1418
Gaasterlân-Sleat,2016,0,0,
Geertruidenberg,2016,21630,950,625
Geldermalsen,2016,26346,1175,662
Geldrop-Mierlo,2016,38893,1870,1283
Gemert-Bakel,2016,29647,1090,409
Gennep,2016,17085,575,281
Giessenlanden,2016,14544,390,223
Gilze en Rijen,2016,26152,1245,181
Goedereede,2016,0,0,
Goeree-Overflakkee,2016,48321,1460,1653
Goes,2016,37207,2025,1456
Goirle,2016,23111,780,485
Gooise Meren,2016,56696,3025,4787
Gorinchem,2016,35260,2015,1894
Gouda,2016,71189,4925,4044
Graafstroom,2016,0,0,
Graft-De Rijp,2016,0,0,
Grave,2016,12643,505,1097
's-Gravenhage (gemeente),2016,519988,43150,22849
Groesbeek,2016,0,0,
Groningen (gemeente),2016,200952,16460,519
Grootegast,2016,12155,210,115
Gulpen-Wittem,2016,14508,535,221
Haaksbergen,2016,24332,605,1369
Haaren,2016,13570,360,265
Haarlem,2016,158140,9805,12045
Haarlemmerliede en Spaarnwoude,2016,5578,380,128
Haarlemmermeer,2016,144518,10200,3013
Halderberge,2016,29531,1140,866
Hardenberg,2016,59687,1675,792
Harderwijk,2016,45966,1985,731
Hardinxveld-Giessendam,2016,17774,450,647
Haren,2016,19076,690,106
Harenkarspel,2016,0,0,
Harlingen,2016,15813,645,468
Hattem,2016,11890,335,81
Heemskerk,2016,39299,1365,890
Heemstede,2016,26766,1090,429
Heerde,2016,18556,465,468
Heerenveen,2016,50290,1920,1141
Heerhugowaard,2016,53927,2810,663
Heerlen,2016,87406,6950,8679
Heeze-Leende,2016,15650,575,282
Heiloo,2016,22689,880,420
Den Helder,2016,56275,3985,1866
Hellendoorn,2016,35651,770,759
Hellevoetsluis,2016,38634,1680,1380
Helmond,2016,90127,6075,0
Hendrik-Ido-Ambacht,2016,29408,1060,686
Hengelo (O.),2016,81075,4610,2263
's-Hertogenbosch,2016,151608,10700,9087
Heumen,2016,16360,730,78
Heusden,2016,43274,1515,1136
Hillegom,2016,21089,740,619
Hilvarenbeek,2016,15164,575,379
Hilversum,2016,87830,5100,4002
Hof van Twente,2016,34881,1040,669
Hollands Kroon,2016,47546,1235,587
Hoogeveen,2016,55240,2530,1701
Hoogezand-Sappemeer,2016,34177,1415,550
Hoorn,2016,72172,4360,3139
Horst aan de Maas,2016,41675,1440,130
Houten,2016,48765,1790,1361
Huizen,2016,41373,1840,1222
Hulst,2016,27372,910,890
IJsselstein,2016,34101,1335,467
Kaag en Braassem,2016,26108,775,51
Kampen,2016,51950,1830,1310
Kapelle,2016,12639,305,27
Katwijk,2016,64239,2050,1825
Kerkrade,2016,46023,2925,2472
Koggenland,2016,22471,710,85
Kollumerland en Nieuwkruisland,2016,12811,265,351
Korendijk,2016,10825,205,69
Krimpen aan den IJssel,2016,29054,800,1182
Krimpenerwaard,2016,54653,1525,337
Laarbeek,2016,21965,590,406
Landerd,2016,15303,495,321
Landgraaf,2016,37465,1810,1379
Landsmeer,2016,10977,495,198
Langedijk,2016,27447,975,115
Lansingerland,2016,59035,2325,1643
Laren (NH.),2016,10956,565,465
Leek,2016,19536,640,688
Leerdam,2016,20711,845,986
Leeuwarden,2016,107897,7560,4540
Leeuwarderadeel,2016,10175,210,110
Leiden,2016,122561,7620,2751
Leiderdorp,2016,26968,955,549
Leidschendam-Voorburg,2016,74223,3580,0
Lelystad,2016,76792,4605,1552
Lemsterland,2016,0,0,
Leudal,2016,36140,1345,720
Leusden,2016,29309,840,441
Liesveld,2016,0,0,
Lingewaal,2016,11112,345,154
Lingewaard,2016,45950,1280,2299
Lisse,2016,22606,990,296
Littenseradiel,2016,10833,180,181
Lochem,2016,33333,1000,710
Loon op Zand,2016,22929,1160,334
Lopik,2016,14156,355,348
Loppersum,2016,10042,225,244
Losser,2016,22444,665,273
Maasdonk,2016,0,0,
Maasdriel,2016,24084,915,1755
Maasgouw,2016,23757,805,163
Maassluis,2016,32292,1645,1625
Maastricht,2016,122533,9620,6221
De Marne,2016,10101,250,50
Marum,2016,10305,250,175
Medemblik,2016,43725,1340,1274
Meerssen,2016,19040,825,290
Menameradiel,2016,13543,275,115
Menterwolde,2016,12233,310,209
Meppel,2016,32794,1315,898
Middelburg (Z.),2016,47873,2285,1891
Middelharnis,2016,0,0,
Midden-Delfland,2016,18873,575,521
Midden-Drenthe,2016,33450,1020,405
Mill en Sint Hubert,2016,10801,295,911
Millingen aan de Rijn,2016,0,0,
Moerdijk,2016,36762,1635,1444
Molenwaard,2016,29067,520,113
Montferland,2016,35173,1295,640
Montfoort,2016,13783,320,76
Mook en Middelaar,2016,7755,285,126
Muiden,2016,0,0,
Naarden,2016,0,0,
Neder-Betuwe,2016,23049,790,455
Nederlek,2016,0,0,
Nederweert,2016,16793,455,343
Neerijnen,2016,12122,320,0
Niedorp,2016,0,0,
Nieuwegein,2016,61749,4295,3277
Nieuwkoop,2016,27433,685,843
Nieuw-Lekkerland,2016,0,0,
Nijkerk,2016,41199,1475,284
Nijmegen,2016,172064,12995,6204
Nissewaard,2016,85293,4175,2897
Noord-Beveland,2016,7421,370,80
Noordenveld,2016,31039,850,502
Noordoostpolder,2016,46439,1685,1440
Noordwijk,2016,25760,1295,1352
Noordwijkerhout,2016,16140,525,562
Nuenen,2016,0,0,0
Nunspeet,2016,26835,795,430
Nuth,2016,15425,590,62
Oegstgeest,2016,23209,755,198
Oirschot,2016,18199,705,0
Oisterwijk,2016,25835,1145,1275
Oldambt,2016,38228,1650,723
Oldebroek,2016,23104,565,367
Oldenzaal,2016,32110,1205,737
Olst-Wijhe,2016,17886,385,244
Ommen,2016,17696,625,225
Onderbanken,2016,7869,285,266
Oost Gelre,2016,29537,835,632
Oosterhout,2016,54018,3040,1967
Oostflakkee,2016,0,0,
Ooststellingwerf,2016,25571,725,94
Oostzaan,2016,9504,495,205
Opmeer,2016,11336,335,200
Opsterland,2016,29830,760,104
Oss,2016,90003,4810,2378
Oud-Beijerland,2016,23851,845,234
Oude IJsselstreek,2016,39657,1070,676
Ouder-Amstel,2016,13411,1170,298
Ouderkerk,2016,0,0,
Oudewater,2016,10049,220,84
Overbetuwe,2016,47002,1850,0
Papendrecht,2016,32248,1140,424
Peel en Maas,2016,43316,1250,309
Pekela,2016,12641,460,408
Pijnacker-Nootdorp,2016,51894,1845,589
Purmerend,2016,79889,3435,2223
Putten,2016,24516,845,568
Raalte,2016,36700,890,797
Reimerswaal,2016,22265,710,259
Renkum,2016,31254,1265,424
Renswoude,2016,5051,140,24
Reusel-De Mierden,2016,12811,375,233
Rheden,2016,43824,1945,1018
Rhenen,2016,19400,625,121
Ridderkerk,2016,45097,2115,658
Rijnwaarden,2016,10866,235,132
Rijnwoude,2016,0,0,
Rijssen-Holten,2016,37875,1060,1057
Rijswijk (ZH.),2016,49328,3690,411
Roerdalen,2016,20686,720,1279
Roermond,2016,57010,4810,4459
De Ronde Venen,2016,42576,1705,659
Roosendaal,2016,76960,4935,4121
Rotterdam,2016,629606,60715,104316
Rozendaal,2016,1498,50,45
Rucphen,2016,22276,775,479
Schagen,2016,46159,1695,628
Schermer,2016,0,0,
Scherpenzeel,2016,9529,245,202
Schiedam,2016,77108,5345,6358
Schiermonnikoog,2016,919,35,89
Schijndel,2016,23625,1000,382
Schinnen,2016,12960,515,147
Schoonhoven,2016,0,0,
Schouwen-Duiveland,2016,33735,1585,1581
Simpelveld,2016,10741,290,324
Sint Anthonis,2016,11594,250,335
Sint-Michielsgestel,2016,28403,730,597
Sint-Oedenrode,2016,17896,550,274
Sittard-Geleen,2016,93555,6800,6970
Skarsterlân,2016,0,0,
Sliedrecht,2016,24968,860,638
Slochteren,2016,15698,350,214
Sluis,2016,23639,785,339
Smallingerland,2016,55439,2275,1180
Soest,2016,45487,1930,1662
Someren,2016,18914,645,522
Son en Breugel,2016,16425,660,584
Spijkenisse,2016,0,0,
Stadskanaal,2016,32621,1205,786
Staphorst,2016,16544,390,138
Stede Broec,2016,21493,805,88
Steenbergen,2016,23477,860,503
Steenwijkerland,2016,43333,1675,1686
Stein (L.),2016,25064,980,587
Stichtse Vecht,2016,64061,3020,1548
Strijen,2016,8766,210,304
Súdwest-Fryslân,2016,84048,3115,1687
Terneuzen,2016,54657,2365,1776
Terschelling,2016,4870,270,431
Texel,2016,13574,505,440
Teylingen,2016,36013,1355,1034
Tholen,2016,25421,655,541
Tiel,2016,41510,2830,1537
Tilburg,2016,212941,14135,21587
Tubbergen,2016,21120,330,409
Twenterand,2016,33846,810,1326
Tynaarlo,2016,32804,845,594
Tytsjerksteradiel,2016,32077,775,1165
Ubbergen,2016,0,0,
Uden,2016,41247,2125,2493
Uitgeest,2016,13360,525,278
Uithoorn,2016,29181,1075,359
Urk,2016,19987,455,189
Utrecht (gemeente),2016,338967,30140,22774
Utrechtse Heuvelrug,2016,48506,2040,1129
Vaals,2016,9632,445,613
Valkenburg aan de Geul,2016,16518,1085,874
Valkenswaard,2016,30262,1470,574
Veendam,2016,27467,1080,811
Veenendaal,2016,63816,2815,1921
Veere,2016,21960,785,924
Veghel,2016,38078,1555,600
Veldhoven,2016,44317,1815,1025
Velsen,2016,67448,3090,2642
Venlo,2016,100371,6915,3319
Venray,2016,43291,2070,1854
Vianen,2016,19513,780,571
Vlaardingen,2016,71808,4965,1739
Vlagtwedde,2016,16422,1110,235
Vlieland,2016,1083,50,52
Vlissingen,2016,44451,2245,1381
Vlist,2016,0,0,
Voerendaal,2016,12482,410,130
Voorschoten,2016,25211,840,392
Voorst,2016,23984,855,342
Vught,2016,25973,1015,450
Waalre,2016,17023,575,124
Waalwijk,2016,47021,2270,1985
Waddinxveen,2016,26072,1220,0
Wageningen,2016,37837,1520,497
Wassenaar,2016,25885,1025,1301
Waterland,2016,17304,520,523
Weert,2016,49100,2450,1614
Weesp,2016,18572,840,498
Werkendam,2016,26527,805,419
West Maas en Waal,2016,18693,495,0
Westerveld,2016,18940,470,449
Westervoort,2016,15001,505,353
Westland,2016,104960,4660,3973
Weststellingwerf,2016,25520,830,51
Westvoorne,2016,14197,545,975
Wierden,2016,23952,570,342
Wieringen,2016,0,0,
Wieringermeer,2016,0,0,
Wijchen,2016,40814,1515,1112
Wijdemeren,2016,23275,770,575
Wijk bij Duurstede,2016,23384,535,347
Winsum,2016,13633,240,0
Winterswijk,2016,28939,1140,657
Woensdrecht,2016,21682,795,1421
Woerden,2016,51161,2225,1133
De Wolden,2016,23722,555,166
Wormerland,2016,15664,385,479
Woudenberg,2016,12550,345,45
Woudrichem,2016,14518,370,148
Zaanstad,2016,152466,7990,6371
Zaltbommel,2016,27543,1180,1076
Zandvoort,2016,16792,1075,1086
Zederik,2016,13718,380,72
Zeevang,2016,0,0,
Zeewolde,2016,22113,985,539
Zeist,2016,62258,3350,1256
Zevenaar,2016,32269,1205,78
Zijpe,2016,0,0,
Zoetermeer,2016,124107,6160,3866
Zoeterwoude,2016,8119,265,127
Zuidhorn,2016,18794,345,298
Zuidplas,2016,40937,1655,523
Zundert,2016,21488,895,96
Zutphen,2016,46997,2950,2207
Zwartewaterland,2016,22278,480,30
Zwijndrecht,2016,44454,2165,169
Zwolle,2016,124896,6650,2243
© Centraal Bureau voor de Statistiek,2016,0,,
