Municipality,Year,Population,Crime,Finance
Aa en Hunze,2013,25541,785,174
Aalburg,2013,12774,435,131
Aalsmeer,2013,30618,1280,572
Aalten,2013,27082,685,648
Achtkarspelen,2013,28110,725,407
Alblasserdam,2013,19643,775,278
Albrandswaard,2013,25101,1185,330
Alkmaar,2013,94505,8100,3653
Almelo,2013,72729,5305,800
Almere,2013,195213,15255,9771
Alphen aan den Rijn,2013,72913,3995,1497
Alphen-Chaam,2013,9640,560,152
Ameland,2013,3525,150,84
Amersfoort,2013,149662,10655,3845
Amstelveen,2013,84379,5115,2607
Amsterdam,2013,799278,101650,84032
Anna Paulowna,2013,0,0,
Apeldoorn,2013,157315,10830,3388
Appingedam,2013,12053,510,170
Arnhem,2013,149827,14390,2033
Assen,2013,67204,4745,1330
Asten,2013,16392,875,686
Baarle-Nassau,2013,6699,335,271
Baarn,2013,24277,1345,182
Barendrecht,2013,47371,2070,838
Barneveld,2013,53751,2460,136
Bedum,2013,10553,230,114
Beek (L.),2013,16367,1195,359
Beemster,2013,8785,360,239
Beesel,2013,13688,590,180
Bellingwedde,2013,8985,265,18
Berg en Dal,2013,0,0,
Bergambacht,2013,9938,330,31
Bergeijk,2013,18191,875,123
Bergen (L.),2013,13275,555,247
Bergen (NH.),2013,30333,1325,1213
Bergen op Zoom,2013,66287,4765,2611
Berkelland,2013,44769,1445,797
Bernheze,2013,29775,1325,372
Bernisse,2013,12398,395,533
Best,2013,28637,1625,1062
Beuningen,2013,25324,1115,409
Beverwijk,2013,40070,2985,1016
het Bildt,2013,10646,280,135
De Bilt,2013,42032,1905,573
Binnenmaas,2013,28964,900,469
Bladel,2013,19635,940,698
Blaricum,2013,9107,510,325
Bloemendaal,2013,22195,1565,421
Boarnsterhim,2013,19505,710,441
Bodegraven-Reeuwijk,2013,32817,1530,465
Boekel,2013,10062,330,43
Ten Boer,2013,7500,165,26
Borger-Odoorn,2013,25662,690,319
Borne,2013,21770,710,280
Borsele,2013,22683,535,218
Boskoop,2013,15195,745,502
Boxmeer,2013,28227,1220,1392
Boxtel,2013,30436,1750,332
Breda,2013,178140,15695,9536.037
Brielle,2013,16320,940,435
Bronckhorst,2013,37216,1075,74
Brummen,2013,21245,1050,313
Brunssum,2013,29081,1895,748
Bunnik,2013,14563,675,327
Bunschoten,2013,20316,655,342
Buren,2013,25939,940,1939
Bussum,2013,32631,2495,330
Capelle aan den IJssel,2013,66024,4020,2760
Castricum,2013,34402,1600,639
Coevorden,2013,35765,1715,212
Cranendonck,2013,20330,960,589
Cromstrijen,2013,12762,445,292
Cuijk,2013,24743,1195,506
Culemborg,2013,27681,1885,1942
Dalfsen,2013,27570,700,478
Dantumadiel,2013,19130,420,427
Delft,2013,99097,7355,2343
Delfzijl,2013,26025,1030,480
Deurne,2013,31733,1720,589
Deventer,2013,98581,6765,2215
Diemen,2013,25218,1805,1224
Dinkelland,2013,26056,690,775
Dirksland,2013,0,0,
Doesburg,2013,11539,550,218
Doetinchem,2013,56414,3180,774
Dongen,2013,25382,1055,419
Dongeradeel,2013,24221,670,342
Dordrecht,2013,118466,9225,4444
Drechterland,2013,19298,775,300
Drimmelen,2013,26737,1000,710
Dronten,2013,40679,2130,975
Druten,2013,18203,655,284
Duiven,2013,25554,1235,387
Echt-Susteren,2013,32072,1695,771
Edam-Volendam,2013,28754,1050,225
Ede,2013,109823,5845,4864
Eemnes,2013,8795,425,259
Eemsmond,2013,16083,710,282
Eersel,2013,18196,970,374
Eijsden-Margraten,2013,25049,1120,376
Eindhoven,2013,218433,25745,16227
Elburg,2013,22510,875,379
Emmen,2013,108392,5750,1173
Enkhuizen,2013,18315,1265,620
Enschede,2013,158627,14215,347
Epe,2013,32385,1440,894
Ermelo,2013,26120,1445,643
Etten-Leur,2013,42274,2450,1292
Ferwerderadiel,2013,8856,220,83
Franekeradeel,2013,20476,745,370
De Friese Meren,2013,0,0,
De Fryske Marren,2013,0,0,
Gaasterlân-Sleat,2013,10196,,1274
Geertruidenberg,2013,21513,1085,517
Geldermalsen,2013,26240,1370,408
Geldrop-Mierlo,2013,38768,2030,1552
Gemert-Bakel,2013,29101,1485,251
Gennep,2013,17319,740,255
Giessenlanden,2013,14466,440,170
Gilze en Rijen,2013,25858,1415,243
Goedereede,2013,0,0,
Goeree-Overflakkee,2013,48259,1825,1515
Goes,2013,36971,2365,819
Goirle,2013,22933,970,306
Gooise Meren,2013,0,0,
