Municipality,Year,Population,Crime,Finance
Gorinchem,2013,35128,2355,1664
Gouda,2013,70904,6215,3771
Graafstroom,2013,0,0,
Graft-De Rijp,2013,6429,225,115.916
Grave,2013,12731,575,822
's-Gravenhage (gemeente),2013,505856,51410,19570
Groesbeek,2013,19009,915,259
Groningen (gemeente),2013,195418,18535,207
Grootegast,2013,12222,320,126
Gulpen-Wittem,2013,14444,735,292
Haaksbergen,2013,24322,880,880
Haaren,2013,13572,500,71
Haarlem,2013,153093,11690,16569.435
Haarlemmerliede en Spaarnwoude,2013,5526,470,104
Haarlemmermeer,2013,144153,12745,2615
Halderberge,2013,29231,1370,992
Hardenberg,2013,59585,2260,508
Harderwijk,2013,45650,2555,650
Hardinxveld-Giessendam,2013,17722,560,596
Haren,2013,18642,805,236
Harenkarspel,2013,0,0,
Harlingen,2013,15854,800,330
Hattem,2013,11769,425,181
Heemskerk,2013,39117,1865,902
Heemstede,2013,26317,1760,438
Heerde,2013,18399,665,285
Heerenveen,2013,43323,1930,80
Heerhugowaard,2013,52893,3415,702
Heerlen,2013,88747,8205,9092
Heeze-Leende,2013,15405,760,262
Heiloo,2013,22594,955,432
Den Helder,2013,56947,4190,1835
Hellendoorn,2013,35743,1005,619
Hellevoetsluis,2013,39086,1845,1223
Helmond,2013,89023,7320,2617
Hendrik-Ido-Ambacht,2013,28641,1100,534
Hengelo (O.),2013,80952,5545,2415
's-Hertogenbosch,2013,142817,12310,11117
Heumen,2013,16455,780,242
Heusden,2013,43244,1825,1035.163
Hillegom,2013,20868,1025,538
Hilvarenbeek,2013,15086,745,253
Hilversum,2013,86017,6195,1748
Hof van Twente,2013,35215,1295,496
Hollands Kroon,2013,47643,1575,881
Hoogeveen,2013,54874,3035,2338
Hoogezand-Sappemeer,2013,34523,1950,615
Hoorn,2013,71360,5345,2891
Horst aan de Maas,2013,41810,1800,178
Houten,2013,48429,1905,840
Huizen,2013,41445,1975,875
Hulst,2013,27514,1070,727
IJsselstein,2013,34254,1495,268.511
Kaag en Braassem,2013,25715,915,43
Kampen,2013,50924,1930,1361
Kapelle,2013,12495,385,34
Katwijk,2013,62688,2480,1982
Kerkrade,2013,47194,3255,2704
Koggenland,2013,22376,950,341
Kollumerland en Nieuwkruisland,2013,12829,255,321
Korendijk,2013,10774,220,34
Krimpen aan den IJssel,2013,28855,1120,621
Krimpenerwaard,2013,0,0,
Laarbeek,2013,21767,880,388
Landerd,2013,15223,690,132
Landgraaf,2013,37911,2085,1300
Landsmeer,2013,10454,540,133
Langedijk,2013,26899,1325,54
Lansingerland,2013,56506,2470,1749
Laren (NH.),2013,10889,615,358
Leek,2013,19611,670,572
Leerdam,2013,20718,895,605
Leeuwarden,2013,95949,8595,4194
Leeuwarderadeel,2013,10314,305,104
Leiden,2013,119800,9855,2830
Leiderdorp,2013,26743,1225,337
Leidschendam-Voorburg,2013,72588,4355,2046
Lelystad,2013,75778,5065,1387
Lemsterland,2013,13566,560,1274
Leudal,2013,36426,1550,832
Leusden,2013,28969,975,380
Liesveld,2013,0,0,
Lingewaal,2013,11007,405,140
Lingewaard,2013,45818,1755,1553
Lisse,2013,22393,1120,389
Littenseradiel,2013,10948,185,127
Lochem,2013,33308,1205,403
Loon op Zand,2013,23083,1540,236
Lopik,2013,13992,365,352
Loppersum,2013,10292,220,156
Losser,2013,22554,855,294
Maasdonk,2013,11220,435,150
Maasdriel,2013,24092,1170,1827
Maasgouw,2013,24017,1075,846
Maassluis,2013,31985,1615,1250
Maastricht,2013,121819,13195,6659
De Marne,2013,10336,275,72
Marum,2013,10382,325,170
Medemblik,2013,43248,1995,1263
Meerssen,2013,19362,1075,246
Menameradiel,2013,13727,375,154
Menterwolde,2013,12370,420,322
Meppel,2013,32726,1635,761
Middelburg (Z.),2013,47523,2860,844
Middelharnis,2013,0,0,
Midden-Delfland,2013,18251,650,590
Midden-Drenthe,2013,33422,1250,294
Mill en Sint Hubert,2013,10906,310,904
Millingen aan de Rijn,2013,5924,140,104
Moerdijk,2013,36625,2220,1420
Molenwaard,2013,29190,735,290
Montferland,2013,34834,1280,361
Montfoort,2013,13621,380,176
Mook en Middelaar,2013,7827,340,122
Muiden,2013,6393,660,922.774
Naarden,2013,17263,980,522
Neder-Betuwe,2013,22593,930,293
Nederlek,2013,14131,490,205
Nederweert,2013,16785,515,313
Neerijnen,2013,12022,445,217
Niedorp,2013,0,0,
Nieuwegein,2013,60895,4160,2767
Nieuwkoop,2013,27082,735,1041
Nieuw-Lekkerland,2013,0,0,
Nijkerk,2013,40355,1715,260
Nijmegen,2013,166382,16660,6159
Nissewaard,2013,0,0,
Noord-Beveland,2013,7509,405,52
Noordenveld,2013,31024,1140,391
Noordoostpolder,2013,46284,1825,1108
Noordwijk,2013,25671,1650,1866
Noordwijkerhout,2013,15740,645,505
Nuenen,2013,0,0,0
Nunspeet,2013,26628,1025,322
Nuth,2013,15494,710,46
Oegstgeest,2013,23153,885,282
Oirschot,2013,17926,945,152
Oisterwijk,2013,25770,1470,1294
Oldambt,2013,38748,2125,1230
Oldebroek,2013,22774,735,287
Oldenzaal,2013,32200,1495,750
Olst-Wijhe,2013,17751,455,281
Ommen,2013,17314,670,90
Onderbanken,2013,7905,320,225
Oost Gelre,2013,29873,1025,769
Oosterhout,2013,53686,3310,1932
Oostflakkee,2013,0,0,
Ooststellingwerf,2013,25836,885,223
Oostzaan,2013,9141,475,179
Opmeer,2013,11379,385,222
Opsterland,2013,29896,815,432
Oss,2013,84861,5600,2321
Oud-Beijerland,2013,23441,945,221
Oude IJsselstreek,2013,39779,1320,454
Ouder-Amstel,2013,13249,1395,209
Ouderkerk,2013,8147,165,177
Oudewater,2013,9872,350,166
Overbetuwe,2013,46531,2180,626
Papendrecht,2013,32082,1295,446
Peel en Maas,2013,43302,1730,293
Pekela,2013,12804,775,89
Pijnacker-Nootdorp,2013,50454,2140,603
Purmerend,2013,79482,4520,3095
Putten,2013,23971,1120,444
Raalte,2013,36486,1060,762
Reimerswaal,2013,21859,850,104
Renkum,2013,31565,1630,708
Renswoude,2013,4893,190,15
Reusel-De Mierden,2013,12670,510,359
Rheden,2013,43679,2265,665
Rhenen,2013,19047,745,477
Ridderkerk,2013,45330,2480,564
Rijnwaarden,2013,10968,275,135
Rijnwoude,2013,18577,560,226
Rijssen-Holten,2013,37608,1175,895
Rijswijk (ZH.),2013,47372,3705,349
Roerdalen,2013,20996,790,1214
Roermond,2013,56690,5490,3966
De Ronde Venen,2013,42846,2030,751
Roosendaal,2013,77155,5475,3857
Rotterdam,2013,616294,67780,78677.145
Rozendaal,2013,1501,100,39
Rucphen,2013,22268,870,453
Schagen,2013,46207,2085,451
Schermer,2013,5501,180,146
Scherpenzeel,2013,9403,345,119
Schiedam,2013,76216,6415,5165
Schiermonnikoog,2013,960,35,95
Schijndel,2013,23262,1265,358
Schinnen,2013,12950,610,137
Schoonhoven,2013,11864,540,313
Schouwen-Duiveland,2013,34040,2155,4021
Simpelveld,2013,10920,365,340
Sint Anthonis,2013,11760,390,275
Sint-Michielsgestel,2013,28040,885,478
Sint-Oedenrode,2013,17921,880,254
Sittard-Geleen,2013,94024,8275,6011
Skarsterlân,2013,27419,,1274
Sliedrecht,2013,24389,1170,566
Slochteren,2013,15622,410,121
Sluis,2013,23886,1050,226
Smallingerland,2013,55454,2950,1304
Soest,2013,45508,1950,1284
Someren,2013,18628,865,221
Son en Breugel,2013,16138,815,439
Spijkenisse,2013,72375,4745,2322
Stadskanaal,2013,32885,1705,709
Staphorst,2013,16275,445,111
Stede Broec,2013,21430,1140,72
Steenbergen,2013,23400,1135,272
Steenwijkerland,2013,43437,1675,858
Stein (L.),2013,25431,1195,400
Stichtse Vecht,2013,63491,3180,2184
Strijen,2013,8777,195,221
Súdwest-Fryslân,2013,82639,,477
Terneuzen,2013,54729,2725,1809
Terschelling,2013,4795,355,460
Texel,2013,13662,595,387
Teylingen,2013,35800,1615,1035
Tholen,2013,25514,760,364
Tiel,2013,41751,3290,2103
Tilburg,2013,208527,18005,20995
Tubbergen,2013,21172,490,528
Twenterand,2013,33971,1075,298
Tynaarlo,2013,32456,1170,466
Tytsjerksteradiel,2013,31979,835,509
Ubbergen,2013,9504,340,85
Uden,2013,40948,2410,2442
Uitgeest,2013,13061,645,276
Uithoorn,2013,28387,1260,1308
Urk,2013,19225,625,211
Utrecht (gemeente),2013,321916,32450,46614
Utrechtse Heuvelrug,2013,48092,2040,1387
Vaals,2013,9771,505,374
Valkenburg aan de Geul,2013,16814,1280,729
Valkenswaard,2013,30584,1870,896
Veendam,2013,27914,1565,588
Veenendaal,2013,63032,3555,1789
Veere,2013,21903,1055,707
Veghel,2013,37437,1965,681
Veldhoven,2013,44092,2315,1135
Velsen,2013,67122,3790,2277
Venlo,2013,100159,8180,6116
Venray,2013,43038,2730,1446
Vianen,2013,19670,1010,489
Vlaardingen,2013,70905,4915,2830
Vlagtwedde,2013,16132,725,274
Vlieland,2013,1114,95,91
Vlissingen,2013,44451,2905,1492.479
Vlist,2013,9730,270,206
Voerendaal,2013,12617,480,134
Voorschoten,2013,24658,1025,425
Voorst,2013,23724,985,302
Vught,2013,25564,1205,299
Waalre,2013,16725,735,146
Waalwijk,2013,46438,2585,1127
Waddinxveen,2013,25217,1160,306
Wageningen,2013,37408,2130,432
Wassenaar,2013,25656,1210,1244
Waterland,2013,17091,665,314
Weert,2013,48587,3300,1490
Weesp,2013,18151,1125,452.823
Werkendam,2013,26405,1125,444
West Maas en Waal,2013,18410,665,149
Westerveld,2013,19091,605,248
Westervoort,2013,15199,765,328
Westland,2013,102698,5015,4371
Weststellingwerf,2013,25595,970,482
Westvoorne,2013,13890,665,703
Wierden,2013,23807,685,291
Wieringen,2013,0,0,
Wieringermeer,2013,0,0,
Wijchen,2013,41004,1865,1116
Wijdemeren,2013,23221,885,384
Wijk bij Duurstede,2013,23035,715,298
Winsum,2013,13906,305,222
Winterswijk,2013,28967,1290,418
Woensdrecht,2013,21648,985,468
Woerden,2013,50346,2180,578
De Wolden,2013,23761,585,133
Wormerland,2013,15740,635,396
Woudenberg,2013,12321,445,210
Woudrichem,2013,14443,515,159
Zaanstad,2013,149622,9705,2467
Zaltbommel,2013,26953,1415,1154
Zandvoort,2013,16593,1490,282.765
Zederik,2013,13538,450,278
Zeevang,2013,6317,200,162
Zeewolde,2013,21262,1095,306
Zeist,2013,61420,3665,1964
Zevenaar,2013,32405,1555,463
Zijpe,2013,0,0,
Zoetermeer,2013,123092,9040,2447
Zoeterwoude,2013,8122,360,84
Zuidhorn,2013,18699,420,272
Zuidplas,2013,40779,1915,615
Zundert,2013,21241,1115,554
Zutphen,2013,47240,3145,2216
Zwartewaterland,2013,22139,690,41
Zwijndrecht,2013,44610,2260,133
Zwolle,2013,122562,8930,2741.251
© Centraal Bureau voor de Statistiek,2013,0,,
