Municipality,Year,Population,Crime,Finance
Houten,2012,48309,2005,2338
Huizen,2012,41574,2215,878
Hulst,2012,27632,1055,811
IJsselstein,2012,34271,1565,441.497
Kaag en Braassem,2012,25737,1065,845
Kampen,2012,50705,2035,1372
Kapelle,2012,12398,400,28
Katwijk,2012,62476,2520,1097
Kerkrade,2012,47280,3815,2535
Koggenland,2012,22345,930,351
Kollumerland en Nieuwkruisland,2012,12906,315,240
Korendijk,2012,10801,250,33
Krimpen aan den IJssel,2012,28692,1170,684
Krimpenerwaard,2012,0,0,
Laarbeek,2012,21608,775,340
Landerd,2012,15066,620,141
Landgraaf,2012,38067,2380,1476
Landsmeer,2012,10334,570,179
Langedijk,2012,26991,1215,56
Lansingerland,2012,55265,2645,1928
Laren (NH.),2012,11360,585,344
Leek,2012,19467,755,559
Leerdam,2012,20664,1005,766
Leeuwarden,2012,95321,8620,3461
Leeuwarderadeel,2012,10332,410,104
Leiden,2012,118748,10385,1552
Leiderdorp,2012,26706,1365,334
Leidschendam-Voorburg,2012,72405,5010,2133
Lelystad,2012,75312,5260,1601
Lemsterland,2012,13564,540,272
Leudal,2012,36462,1580,511
Leusden,2012,28905,1155,517
Liesveld,2012,9787,250,14
Lingewaal,2012,10895,410,113
Lingewaard,2012,45770,1985,1405
Lisse,2012,22511,1140,380
Littenseradiel,2012,10925,195,137
Lochem,2012,33263,1230,422
Loon op Zand,2012,23071,1475,301
Lopik,2012,14050,350,285
Loppersum,2012,10366,240,171
Losser,2012,22673,790,328
Maasdonk,2012,11259,460,152
Maasdriel,2012,24022,1285,361
Maasgouw,2012,24095,1060,885
Maassluis,2012,31849,1895,1105
Maastricht,2012,121050,14430,6301
De Marne,2012,10428,295,68
Marum,2012,10413,320,119
Medemblik,2012,43117,2015,0
Meerssen,2012,19430,905,235
Menameradiel,2012,13773,375,127
Menterwolde,2012,12358,515,172
Meppel,2012,32573,1710,869
Middelburg (Z.),2012,47768,3070,542
Middelharnis,2012,18049,685,560
Midden-Delfland,2012,18225,735,511
Midden-Drenthe,2012,33558,1230,278
Mill en Sint Hubert,2012,10926,380,819
Millingen aan de Rijn,2012,5903,155,113
Moerdijk,2012,36522,2305,1096
Molenwaard,2012,0,0,
Montferland,2012,35043,1330,318
Montfoort,2012,13601,470,176
Mook en Middelaar,2012,7874,340,115
Muiden,2012,6466,595,66.809
Naarden,2012,17163,1120,522
Neder-Betuwe,2012,22614,1115,286
Nederlek,2012,13992,515,179
Nederweert,2012,16771,560,420
Neerijnen,2012,11930,540,172
Niedorp,2012,0,0,
Nieuwegein,2012,60720,3935,2370
Nieuwkoop,2012,26974,845,907
Nieuw-Lekkerland,2012,9520,220,24
Nijkerk,2012,40126,1730,268
Nijmegen,2012,165182,17075,5512
Nissewaard,2012,0,0,
Noord-Beveland,2012,7522,405,53
Noordenveld,2012,30955,1290,403
Noordoostpolder,2012,46342,1920,896
Noordwijk,2012,25517,1730,1884
Noordwijkerhout,2012,15648,790,466
Nuenen,2012,0,0,0
Nunspeet,2012,26609,1125,338
Nuth,2012,15644,770,87
Oegstgeest,2012,22788,985,193
Oirschot,2012,17861,900,101
Oisterwijk,2012,25775,1690,1315
Oldambt,2012,39095,2595,1553
Oldebroek,2012,22716,785,314
Oldenzaal,2012,32176,1595,716
Olst-Wijhe,2012,17659,485,309
Ommen,2012,17380,610,133
Onderbanken,2012,7966,375,214
Oost Gelre,2012,30005,1165,638
Oosterhout,2012,54006,3990,1666
Oostflakkee,2012,10407,345,191
Ooststellingwerf,2012,25858,920,233
Oostzaan,2012,9097,530,318
Opmeer,2012,11393,460,221
Opsterland,2012,29952,785,558
Oss,2012,84639,5920,2407
Oud-Beijerland,2012,23415,1035,188
Oude IJsselstreek,2012,39839,1420,471
Ouder-Amstel,2012,13232,1430,195
Ouderkerk,2012,8049,195,180
Oudewater,2012,9850,335,218
Overbetuwe,2012,46269,2370,762
Papendrecht,2012,32032,1440,635
Peel en Maas,2012,43271,1805,84
Pekela,2012,12868,780,93
Pijnacker-Nootdorp,2012,50103,2660,581
Purmerend,2012,79266,4865,2708
Putten,2012,23860,1110,444
Raalte,2012,36603,1040,637
Reimerswaal,2012,21704,875,107
Renkum,2012,31630,1720,646
Renswoude,2012,4822,170,10
Reusel-De Mierden,2012,12654,510,197
Rheden,2012,43612,2475,549
Rhenen,2012,19064,870,480
Ridderkerk,2012,45208,2330,702
Rijnwaarden,2012,11008,340,113
Rijnwoude,2012,18618,635,371
Rijssen-Holten,2012,37561,1325,961
Rijswijk (ZH.),2012,46990,4070,378
Roerdalen,2012,21092,915,1489
Roermond,2012,56165,5735,4414
De Ronde Venen,2012,42977,2030,795
Roosendaal,2012,77426,6370,3712
Rotterdam,2012,616260,69330,78353.357
Rozendaal,2012,1514,90,39
Rucphen,2012,22320,1035,405
Schagen,2012,18653,1090,49
Schermer,2012,5456,125,141
Scherpenzeel,2012,9354,330,123
Schiedam,2012,76244,6495,5506
Schiermonnikoog,2012,932,35,85
Schijndel,2012,23016,1245,292
Schinnen,2012,13202,715,160
Schoonhoven,2012,11814,555,304
Schouwen-Duiveland,2012,34151,2300,2062
Simpelveld,2012,10914,365,270
Sint Anthonis,2012,11803,320,383
Sint-Michielsgestel,2012,28128,1035,383
Sint-Oedenrode,2012,17910,765,228
Sittard-Geleen,2012,94535,8725,5853
Skarsterlân,2012,27520,955,472
Sliedrecht,2012,24232,1235,414
Slochteren,2012,15536,390,126
Sluis,2012,23892,1210,179
Smallingerland,2012,55456,2945,1139
Soest,2012,45612,2200,1280
Someren,2012,18580,740,136
Son en Breugel,2012,15822,910,450
Spijkenisse,2012,72171,4835,2872
Stadskanaal,2012,32998,2010,681
Staphorst,2012,16224,490,118
Stede Broec,2012,21468,1245,90
Steenbergen,2012,23354,1120,246
Steenwijkerland,2012,43402,1940,838
Stein (L.),2012,25623,1250,449
Stichtse Vecht,2012,63315,3540,2276
Strijen,2012,8848,275,257
Súdwest-Fryslân,2012,82634,3650,1003
Terneuzen,2012,54742,3350,1901
Terschelling,2012,4748,390,432
Texel,2012,13668,685,421
Teylingen,2012,35686,1520,976
Tholen,2012,25540,940,210
Tiel,2012,41527,3625,1681
Tilburg,2012,207580,18505,19033
Tubbergen,2012,21206,460,442
Twenterand,2012,33929,1190,228
Tynaarlo,2012,32357,1205,332
Tytsjerksteradiel,2012,32164,1025,485
Ubbergen,2012,9387,345,69
Uden,2012,40805,2635,2364
Uitgeest,2012,12897,700,274
Uithoorn,2012,28307,1325,1529
Urk,2012,18950,635,179
Utrecht (gemeente),2012,316275,32545,19532
Utrechtse Heuvelrug,2012,48267,2255,937
Vaals,2012,9749,495,194
Valkenburg aan de Geul,2012,16945,1455,798
Valkenswaard,2012,30666,2030,586
Veendam,2012,27920,1745,537
Veenendaal,2012,62870,3325,1816
Veere,2012,21959,1035,585
Veghel,2012,37553,2305,1531
Veldhoven,2012,43880,2180,928
Velsen,2012,67286,4060,1580
Venlo,2012,100027,9005,5736
Venray,2012,42959,2785,1509
Vianen,2012,19670,1120,528
Vlaardingen,2012,71042,5245,3282
Vlagtwedde,2012,16260,825,332
Vlieland,2012,1105,95,93
Vlissingen,2012,44502,3100,1831.559
Vlist,2012,9773,310,258
Voerendaal,2012,12664,515,136
Voorschoten,2012,24310,1225,390
Voorst,2012,23719,1110,329
Vught,2012,25789,1330,230
Waalre,2012,16503,710,115
Waalwijk,2012,46422,2975,1294
Waddinxveen,2012,25280,1250,306
Wageningen,2012,37049,2270,429
Wassenaar,2012,25762,1505,1241
Waterland,2012,17010,670,265
Weert,2012,48668,3470,1468
Weesp,2012,18022,1005,1426.03
Werkendam,2012,26423,1110,378
West Maas en Waal,2012,18325,730,169
Westerveld,2012,19198,610,282
Westervoort,2012,15294,725,310
Westland,2012,101980,5595,4703
Weststellingwerf,2012,25780,1010,480
Westvoorne,2012,13901,635,678
Wierden,2012,23824,780,312
Wieringen,2012,0,0,
Wieringermeer,2012,0,0,
Wijchen,2012,40734,1935,760
Wijdemeren,2012,23297,990,414
Wijk bij Duurstede,2012,23064,760,351
Winsum,2012,13987,310,280
Winterswijk,2012,28946,1460,476
Woensdrecht,2012,21675,1150,466
Woerden,2012,50052,2465,542
De Wolden,2012,23753,615,100
Wormerland,2012,15781,630,423
Woudenberg,2012,12034,470,239
Woudrichem,2012,14416,545,199
Zaanstad,2012,148281,9955,2499
Zaltbommel,2012,26774,1405,1040
Zandvoort,2012,16651,1370,219.926
Zederik,2012,13434,505,284
Zeevang,2012,6344,160,323
Zeewolde,2012,21288,1040,320
Zeist,2012,61233,4300,1826
Zevenaar,2012,32429,1720,461
Zijpe,2012,11589,480,576
Zoetermeer,2012,122331,8930,2528
Zoeterwoude,2012,8171,375,17
Zuidhorn,2012,18681,430,321
Zuidplas,2012,40673,1965,703
Zundert,2012,21221,1180,474
Zutphen,2012,47144,3130,2213
Zwartewaterland,2012,22048,730,62
Zwijndrecht,2012,44499,2420,130
Zwolle,2012,121527,9400,3218.837
© Centraal Bureau voor de Statistiek,2012,0,,
