Municipality,Year,Population,Crime,Finance
Aa en Hunze,2012,25738,940,199
Aalburg,2012,12749,500,128
Aalsmeer,2012,30364,1220,683
Aalten,2012,27305,700,1121
Achtkarspelen,2012,28091,805,382
Alblasserdam,2012,19467,855,409
Albrandswaard,2012,25003,1185,305
Alkmaar,2012,94269,8640,3425
Almelo,2012,72757,5240,817
Almere,2012,193163,14495,8673
Alphen aan den Rijn,2012,72853,4610,1764
Alphen-Chaam,2012,9525,575,131
Ameland,2012,3526,190,103
Amersfoort,2012,148250,10740,4644
Amstelveen,2012,83363,5105,2215
Amsterdam,2012,790110,101505,59211
Anna Paulowna,2012,0,0,
Apeldoorn,2012,156961,11745,2545
Appingedam,2012,12053,535,205
Arnhem,2012,149271,15215,1187
Assen,2012,67208,5000,1186
Asten,2012,16404,920,570
Baarle-Nassau,2012,6722,370,251
Baarn,2012,24352,1530,249
Barendrecht,2012,47053,2365,924
Barneveld,2012,53521,2485,965
Bedum,2012,10508,300,118
Beek (L.),2012,16457,1255,310
Beemster,2012,8719,440,178
Beesel,2012,13742,680,150
Bellingwedde,2012,9283,275,14
Berg en Dal,2012,0,0,
Bergambacht,2012,9908,335,139
Bergeijk,2012,18123,1000,108
Bergen (L.),2012,13286,480,339
Bergen (NH.),2012,30682,1540,1098
Bergen op Zoom,2012,66130,5025,2583
Berkelland,2012,44911,1825,806
Bernheze,2012,29802,1300,389
Bernisse,2012,12426,415,533
Best,2012,28696,1655,823
Beuningen,2012,25433,1200,526
Beverwijk,2012,39844,3240,990
het Bildt,2012,10798,300,123
De Bilt,2012,42079,2050,742
Binnenmaas,2012,28962,980,478
Bladel,2012,19582,905,757
Blaricum,2012,9038,520,443
Bloemendaal,2012,22056,1520,368
Boarnsterhim,2012,19380,775,356
Bodegraven-Reeuwijk,2012,32834,1850,526
Boekel,2012,9967,360,43
Ten Boer,2012,7477,190,17
Borger-Odoorn,2012,25859,845,438
Borne,2012,21586,705,307
Borsele,2012,22676,590,206
Boskoop,2012,15087,735,453
Boxmeer,2012,28397,1345,1186
Boxtel,2012,30284,1915,348
Breda,2012,176401,17175,4389.708
Brielle,2012,16072,910,542
Bronckhorst,2012,37441,1030,76
Brummen,2012,21327,1010,260
Brunssum,2012,29199,2000,660
Bunnik,2012,14451,800,289
Bunschoten,2012,20200,795,286
Buren,2012,25949,905,494
Bussum,2012,32585,2375,347
Capelle aan den IJssel,2012,66122,4920,3114
Castricum,2012,34474,1690,527
Coevorden,2012,35881,1835,224
Cranendonck,2012,20432,1030,548
Cromstrijen,2012,12780,465,243
Cuijk,2012,24648,1240,635
Culemborg,2012,27632,2085,1656
Dalfsen,2012,27432,695,422
Dantumadiel,2012,19264,425,391
Delft,2012,98675,8035,2285
Delfzijl,2012,26305,1225,553
Deurne,2012,31762,1705,811
Deventer,2012,98672,7095,2232
Diemen,2012,24935,1720,1070
Dinkelland,2012,26073,750,705
Dirksland,2012,8476,300,57
Doesburg,2012,11598,580,222
Doetinchem,2012,56252,3295,798
Dongen,2012,25205,1165,430
Dongeradeel,2012,24284,775,375
Dordrecht,2012,118862,10475,5347
Drechterland,2012,19300,740,351
Drimmelen,2012,26664,1140,713
Dronten,2012,40470,2500,662
Druten,2012,18193,700,255
Duiven,2012,25525,1315,294
Echt-Susteren,2012,32165,1885,778
Edam-Volendam,2012,28700,1105,186
Ede,2012,108763,6270,1100
Eemnes,2012,8824,355,285
Eemsmond,2012,16235,675,300
Eersel,2012,18166,980,315
Eijsden-Margraten,2012,24994,1145,760
Eindhoven,2012,217225,26105,13811
Elburg,2012,22416,865,393
Emmen,2012,108838,6415,1099
Enkhuizen,2012,18268,1435,650
Enschede,2012,158048,14430,360
Epe,2012,32519,1615,758
Ermelo,2012,26127,1485,335
Etten-Leur,2012,42048,2650,1024
Ferwerderadiel,2012,8837,195,86
Franekeradeel,2012,20512,760,228
De Friese Meren,2012,0,0,
De Fryske Marren,2012,0,0,
Gaasterlân-Sleat,2012,10194,310,222
Geertruidenberg,2012,21471,1120,521
Geldermalsen,2012,26334,1570,416
Geldrop-Mierlo,2012,38671,2060,1401
Gemert-Bakel,2012,29041,1445,246
Gennep,2012,17367,895,227
Giessenlanden,2012,14508,445,171
Gilze en Rijen,2012,25589,1515,182
Goedereede,2012,11380,530,381.758
Goeree-Overflakkee,2012,0,0,
Goes,2012,36921,2600,927
Goirle,2012,22805,1060,346
Gooise Meren,2012,0,0,
Gorinchem,2012,35083,2525,2214
Gouda,2012,71235,6530,3962
Graafstroom,2012,9795,340,15
Graft-De Rijp,2012,6436,230,108.66
Grave,2012,12799,565,734
's-Gravenhage (gemeente),2012,502055,53460,19106
Groesbeek,2012,18884,980,269
Groningen (gemeente),2012,193127,18245,209
Grootegast,2012,12275,330,125
Gulpen-Wittem,2012,14479,660,305
Haaksbergen,2012,24419,990,846
Haaren,2012,13621,555,85
Haarlem,2012,151818,11480,15608
Haarlemmerliede en Spaarnwoude,2012,5474,405,125
Haarlemmermeer,2012,143943,13280,2386
Halderberge,2012,29325,1670,508
Hardenberg,2012,59430,2505,624
Harderwijk,2012,45429,2715,732
Hardinxveld-Giessendam,2012,17654,600,228
Haren,2012,18457,1030,131
Harenkarspel,2012,16194,655,539.285
Harlingen,2012,15844,780,366
Hattem,2012,11805,450,184
Heemskerk,2012,39268,1850,849
Heemstede,2012,26242,1415,458
Heerde,2012,18244,685,265
Heerenveen,2012,43514,2325,140
Heerhugowaard,2012,52483,3485,650
Heerlen,2012,89016,8430,9525
Heeze-Leende,2012,15352,710,204
Heiloo,2012,22650,1010,475
Den Helder,2012,57065,4125,1510
Hellendoorn,2012,35796,1170,618
Hellevoetsluis,2012,39442,2100,1087
Helmond,2012,88801,7190,2404
Hendrik-Ido-Ambacht,2012,28257,1095,632
Hengelo (O.),2012,80939,5495,1932
's-Hertogenbosch,2012,141893,12640,10262
Heumen,2012,16413,800,212
Heusden,2012,43112,1865,1056.913
Hillegom,2012,20831,1300,534
Hilvarenbeek,2012,15047,705,160
Hilversum,2012,85537,6905,1588
Hof van Twente,2012,35599,1340,445
Hollands Kroon,2012,47703,1560,1224
Hoogeveen,2012,54889,3480,1751
Hoogezand-Sappemeer,2012,34778,1870,509
Hoorn,2012,71254,5525,2755
Horst aan de Maas,2012,41917,1835,170
