Municipality,Year,Population,Crime,Finance
IJsselstein,2014,34275,1390,342
Kaag en Braassem,2014,25745,815,62
Kampen,2014,51092,1825,1326
Kapelle,2014,12500,270,19
Katwijk,2014,62782,2105,0
Kerkrade,2014,46784,3245,2404
Koggenland,2014,22485,835,509
Kollumerland en Nieuwkruisland,2014,12878,285,318
Korendijk,2014,10702,185,47
Krimpen aan den IJssel,2014,28825,915,672
Krimpenerwaard,2014,0,0,
Laarbeek,2014,21802,890,387
Landerd,2014,15266,600,187
Landgraaf,2014,37573,2140,1358
Landsmeer,2014,10444,500,214
Langedijk,2014,26935,1120,90
Lansingerland,2014,57122,2320,1654
Laren (NH.),2014,10862,575,398
Leek,2014,19597,695,567
Leerdam,2014,20590,870,595
Leeuwarden,2014,107342,8655,4462
Leeuwarderadeel,2014,10278,320,113
Leiden,2014,121163,8980,2679
Leiderdorp,2014,26813,1025,362
Leidschendam-Voorburg,2014,73356,4050,1993
Lelystad,2014,76142,4740,1349
Lemsterland,2014,0,0,
Leudal,2014,36219,1465,626
Leusden,2014,28997,975,368
Liesveld,2014,0,0,
Lingewaal,2014,11060,340,125
Lingewaard,2014,45776,1375,2148
Lisse,2014,22336,925,408
Littenseradiel,2014,10926,265,92
Lochem,2014,33248,1075,491
Loon op Zand,2014,23080,1470,269
Lopik,2014,13999,340,219
Loppersum,2014,10196,240,260
Losser,2014,22612,710,230
Maasdonk,2014,11242,435,105
Maasdriel,2014,24156,1050,1787
Maasgouw,2014,23907,940,284
Maassluis,2014,32080,1565,1289
Maastricht,2014,122488,13360,6034
De Marne,2014,10209,325,0
Marum,2014,10378,330,88
Medemblik,2014,43320,1785,1282
Meerssen,2014,19254,1115,294
Menameradiel,2014,13673,285,132
Menterwolde,2014,12258,320,168
Meppel,2014,32867,1650,867
Middelburg (Z.),2014,47642,2465,1087
Middelharnis,2014,0,0,
Midden-Delfland,2014,18456,700,499
Midden-Drenthe,2014,33366,1135,310
Mill en Sint Hubert,2014,10850,260,862
Millingen aan de Rijn,2014,5876,120,132
Moerdijk,2014,36729,1870,1242
Molenwaard,2014,29032,635,241
Montferland,2014,34987,1200,440
Montfoort,2014,13639,375,86
Mook en Middelaar,2014,7796,320,120
Muiden,2014,6287,545,0
Naarden,2014,17205,770,502
Neder-Betuwe,2014,22555,745,322
Nederlek,2014,14075,345,279
Nederweert,2014,16751,465,352
Neerijnen,2014,12020,400,0
Niedorp,2014,0,0,
Nieuwegein,2014,61038,3800,3175
Nieuwkoop,2014,27104,700,1092
Nieuw-Lekkerland,2014,0,0,
Nijkerk,2014,40638,1455,340
Nijmegen,2014,168292,14275,5225
Nissewaard,2014,0,0,
Noord-Beveland,2014,7530,380,73
Noordenveld,2014,31087,905,426
Noordoostpolder,2014,46356,1615,1136
Noordwijk,2014,25691,1490,1573
Noordwijkerhout,2014,15956,725,539
Nuenen,2014,0,0,0
Nunspeet,2014,26680,960,381
Nuth,2014,15583,685,44
Oegstgeest,2014,22910,845,385
Oirschot,2014,17980,755,261
Oisterwijk,2014,25802,1270,1369
Oldambt,2014,38560,1865,535
Oldebroek,2014,22835,660,334
Oldenzaal,2014,32137,1285,700
Olst-Wijhe,2014,17770,425,232
Ommen,2014,17361,625,138
Onderbanken,2014,7881,345,215
Oost Gelre,2014,29700,965,940
Oosterhout,2014,53717,3120,2202
Oostflakkee,2014,0,0,
Ooststellingwerf,2014,25672,775,145
Oostzaan,2014,9139,460,254
Opmeer,2014,11368,380,225
Opsterland,2014,29863,805,332
Oss,2014,84954,5190,2373
Oud-Beijerland,2014,23715,860,262
Oude IJsselstreek,2014,39595,1160,484
Ouder-Amstel,2014,13271,1220,316
Ouderkerk,2014,8211,135,192
Oudewater,2014,9873,270,240
Overbetuwe,2014,46665,1745,616
Papendrecht,2014,32117,1300,447
Peel en Maas,2014,43314,1635,290
Pekela,2014,12706,575,336
Pijnacker-Nootdorp,2014,51071,1870,541
Purmerend,2014,79576,3990,2693
Putten,2014,23872,955,488
Raalte,2014,36519,840,651
Reimerswaal,2014,21927,665,116
Renkum,2014,31580,1570,647
Renswoude,2014,4924,165,19
Reusel-De Mierden,2014,12713,410,211
Rheden,2014,43640,2300,872
Rhenen,2014,19116,665,502
Ridderkerk,2014,45253,2100,544
Rijnwaarden,2014,10917,260,178
Rijnwoude,2014,0,0,
Rijssen-Holten,2014,37661,1040,1066
Rijswijk (ZH.),2014,47634,3780,362
Roerdalen,2014,20832,730,1108
Roermond,2014,56929,5390,3738
De Ronde Venen,2014,42642,1815,660
Roosendaal,2014,77027,5355,3413
Rotterdam,2014,618357,63105,81464.869
Rozendaal,2014,1503,70,42
Rucphen,2014,22180,910,439
Schagen,2014,45978,2495,806
Schermer,2014,5539,180,0
Scherpenzeel,2014,9498,270,122
Schiedam,2014,76450,5500,0
Schiermonnikoog,2014,942,25,100
Schijndel,2014,23360,995,328
Schinnen,2014,12901,610,150
Schoonhoven,2014,11903,460,249
Schouwen-Duiveland,2014,33852,1815,2076
Simpelveld,2014,10844,290,322
Sint Anthonis,2014,11691,315,284
Sint-Michielsgestel,2014,28121,890,452
Sint-Oedenrode,2014,17934,755,278
Sittard-Geleen,2014,93691,8035,6725
Skarsterlân,2014,0,0,
Sliedrecht,2014,24528,985,705
Slochteren,2014,15548,365,214
Sluis,2014,23820,940,269
Smallingerland,2014,55467,2795,1386
Soest,2014,45493,1970,2434
Someren,2014,18690,775,552
Son en Breugel,2014,16235,725,574
Spijkenisse,2014,72561,4410,2158
Stadskanaal,2014,32803,1355,674
Staphorst,2014,16367,405,105
Stede Broec,2014,21485,940,82
Steenbergen,2014,23374,925,761
Steenwijkerland,2014,43350,1570,941
Stein (L.),2014,25390,1205,440
Stichtse Vecht,2014,63856,2980,1540
Strijen,2014,8683,265,248
Súdwest-Fryslân,2014,84180,3375,1690
Terneuzen,2014,54709,2430,1766
Terschelling,2014,4780,315,420
Texel,2014,13552,545,427
Teylingen,2014,35735,1320,985
Tholen,2014,25408,650,395
Tiel,2014,41775,2935,2031
Tilburg,2014,210270,16945,21521
Tubbergen,2014,21206,440,508
Twenterand,2014,33929,865,0
Tynaarlo,2014,32493,945,611
Tytsjerksteradiel,2014,31973,915,852
Ubbergen,2014,9451,280,92
Uden,2014,40913,2430,2545
Uitgeest,2014,13234,735,46
Uithoorn,2014,28418,1075,1212
Urk,2014,19470,575,167
Utrecht (gemeente),2014,328164,32155,27815
Utrechtse Heuvelrug,2014,47951,2075,1194
Vaals,2014,9685,525,385
Valkenburg aan de Geul,2014,16675,1200,730
Valkenswaard,2014,30335,1565,1208
Veendam,2014,27792,1240,839
Veenendaal,2014,63252,3050,1499
Veere,2014,21868,815,750
Veghel,2014,37464,1880,654
Veldhoven,2014,44155,2265,1007
Velsen,2014,67220,3905,1944
Venlo,2014,100428,7335,5292
Venray,2014,43112,2465,1567
Vianen,2014,19596,900,588
Vlaardingen,2014,70981,4765,3187
Vlagtwedde,2014,15905,690,213
Vlieland,2014,1110,105,66
Vlissingen,2014,44444,2905,1390.855
Vlist,2014,9694,270,254
Voerendaal,2014,12454,430,118
Voorschoten,2014,24951,865,408
Voorst,2014,23767,1130,338
Vught,2014,25638,1200,354
Waalre,2014,16765,590,176
Waalwijk,2014,46498,2850,1739
Waddinxveen,2014,25508,1070,366
Wageningen,2014,37429,1700,450
Wassenaar,2014,25675,1175,1296
Waterland,2014,17134,490,302
Weert,2014,48721,3055,1702
Weesp,2014,18172,955,542.401
Werkendam,2014,26387,935,485
West Maas en Waal,2014,18419,585,107
Westerveld,2014,18933,525,287
Westervoort,2014,15138,600,334
Westland,2014,103241,4805,3793
Weststellingwerf,2014,25454,835,411
Westvoorne,2014,13964,605,771
Wierden,2014,23909,605,362
Wieringen,2014,0,0,
Wieringermeer,2014,0,0,
Wijchen,2014,41043,1640,1339
Wijdemeren,2014,23187,820,462
Wijk bij Duurstede,2014,23043,605,359
Winsum,2014,13850,280,246
Winterswijk,2014,28881,1320,444
Woensdrecht,2014,21621,870,517
Woerden,2014,50577,2180,587
De Wolden,2014,23583,515,112
Wormerland,2014,15777,450,549
Woudenberg,2014,12422,455,212
Woudrichem,2014,14425,450,163
Zaanstad,2014,150598,9120,2575
Zaltbommel,2014,27182,1380,1184
Zandvoort,2014,16575,1245,0
Zederik,2014,13656,405,241
Zeevang,2014,6341,185,180
Zeewolde,2014,21499,1035,438
Zeist,2014,61250,3580,2170
Zevenaar,2014,32283,1430,498
Zijpe,2014,0,0,
Zoetermeer,2014,123561,7835,2788
Zoeterwoude,2014,8075,285,100
Zuidhorn,2014,18775,400,280
Zuidplas,2014,40892,1770,577
Zundert,2014,21399,1115,66
Zutphen,2014,47164,2965,2292
Zwartewaterland,2014,22167,520,32
Zwijndrecht,2014,44547,2150,144
Zwolle,2014,123159,7850,3006
© Centraal Bureau voor de Statistiek,2014,0,,
