Municipality,Year,Population,Crime,Finance
Aa en Hunze,2010,25563,805,213
Aalburg,2010,12614,470,136
Aalsmeer,2010,29187,1405,620
Aalten,2010,27500,905,1068
Abcoude,2010,8764,550,129.224
Achtkarspelen,2010,28088,935,367
Alblasserdam,2010,19014,790,447
Albrandswaard,2010,24191,1035,372
Alkmaar,2010,93861,9575,3559
Almelo,2010,72602,5005,502
Almere,2010,188160,13930,7839
Alphen aan den Rijn,2010,72534,4650,1470
Alphen-Chaam,2010,9436,415,99
Ameland,2010,3501,220,72
Amersfoort,2010,144862,11155,3284
Amstelveen,2010,80695,5270,1082
Amsterdam,2010,767457,100125,
Andijk,2010,6504,310,161
Anna Paulowna,2010,14234,535,399
Apeldoorn,2010,155726,11680,3808
Appingedam,2010,12032,600,189
Arnhem,2010,147018,16765,1944
Assen,2010,66857,5350,1068
Asten,2010,16335,850,523
Baarle-Nassau,2010,6703,290,208
Baarn,2010,24317,1560,277
Barendrecht,2010,46449,2355,1021
Barneveld,2010,52490,2610,823
Bedum,2010,10447,330,143
Beek (L.),2010,16579,1285,310
Beemster,2010,8584,375,215
Beesel,2010,13902,690,152
Bellingwedde,2010,9261,330,16
Bergambacht,2010,9729,345,98
Bergeijk,2010,18061,915,89
Bergen (L.),2010,13391,615,346
Bergen (NH.),2010,30985,1610,849
Bergen op Zoom,2010,65845,5240,2192
Berkelland,2010,44978,1825,746
Bernheze,2010,29655,1230,297
Bernisse,2010,12455,400,448
Best,2010,28953,1855,745
Beuningen,2010,25481,1440,351
Beverwijk,2010,38883,3495,941
het Bildt,2010,10908,290,130
De Bilt,2010,42017,2500,943
Binnenmaas,2010,28926,1070,414
Bladel,2010,19177,920,666
Blaricum,2010,8955,565,294
Bloemendaal,2010,22023,1450,387
Boarnsterhim,2010,19357,700,203
Bodegraven,2010,19447,1145,396
Boekel,2010,9772,325,10
Ten Boer,2010,7427,190,15
Bolsward,2010,9905,510,60
Borger-Odoorn,2010,26072,825,294
Borne,2010,21330,725,422
Borsele,2010,22618,585,204
Boskoop,2010,15090,800,402
Boxmeer,2010,28575,1295,1149
Boxtel,2010,30276,2000,338
Breda,2010,173299,16580,15011.322
Breukelen,2010,14614,1420,773
Brielle,2010,15759,835,766
Bronckhorst,2010,37751,1170,56
Brummen,2010,21139,1155,325
Brunssum,2010,29448,2065,442
Bunnik,2010,14459,765,713
Bunschoten,2010,20000,780,356
Buren,2010,25887,860,480
Bussum,2010,32112,2790,256
Capelle aan den IJssel,2010,65345,4465,3767
Castricum,2010,34652,2000,586
Coevorden,2010,36121,1960,779
Cranendonck,2010,20343,945,399
Cromstrijen,2010,12818,490,224
Cuijk,2010,24433,1350,545
Culemborg,2010,27501,2365,1610
Dalfsen,2010,27259,665,418
