Municipality,Year,Population,Crime,Finance
Dantumadiel,2010,19283,395,280
Delft,2010,96760,8675,2517
Delfzijl,2010,26635,1495,618
Deurne,2010,31526,1630,1078
Deventer,2010,98523,7055,1500
Diemen,2010,24685,1755,404
Dinkelland,2010,26058,715,844
Dirksland,2010,8439,285,23
Doesburg,2010,11600,660,232
Doetinchem,2010,56108,4075,767
Dongen,2010,25061,1180,487
Dongeradeel,2010,24409,745,476
Dordrecht,2010,118480,10040,5378
Drechterland,2010,19291,870,503
Drimmelen,2010,26591,1065,644
Dronten,2010,39787,2295,564
Druten,2010,18084,600,282
Duiven,2010,25593,1440,339
Echt-Susteren,2010,32282,1730,470
Edam-Volendam,2010,28506,1210,198
Ede,2010,107756,7425,1332
Eemnes,2010,8837,350,237
Eemsmond,2010,16426,655,161
Eersel,2010,18157,980,381
Eijsden,2010,11439,705,229
Eindhoven,2010,213809,24650,15320
Elburg,2010,22176,1020,265
Emmen,2010,109491,6340,1144
Enkhuizen,2010,18153,1575,573
Enschede,2010,157052,14485,283
Epe,2010,32881,1990,866
Ermelo,2010,26264,1850,326
Etten-Leur,2010,41524,3015,935
Ferwerderadiel,2010,8839,180,47
Franekeradeel,2010,20597,855,203
Gaasterlân-Sleat,2010,10303,330,
Geertruidenberg,2010,21087,1195,367
Geldermalsen,2010,26260,1550,509
Geldrop-Mierlo,2010,38117,2240,904
Gemert-Bakel,2010,28763,1420,1024
Gennep,2010,17153,855,383
Giessenlanden,2010,14451,370,127
Gilze en Rijen,2010,25975,1460,142
Goedereede,2010,11420,525,347.408
Goes,2010,36605,2625,925
Goirle,2010,22761,1190,373
Gorinchem,2010,34663,2505,2383
Gouda,2010,71122,6700,7507
Graafstroom,2010,9804,245,122
Graft-De Rijp,2010,6489,280,28.799
Grave,2010,12917,580,773
's-Gravenhage (gemeente),2010,488553,58085,18364
Groesbeek,2010,18923,915,538
Groningen (gemeente),2010,187298,19535,520
Grootegast,2010,12141,305,163
Gulpen-Wittem,2010,14594,750,285
Haaksbergen,2010,24486,1010,389
Haaren,2010,13625,495,77
Haarlem,2010,149579,13285,15216
Haarlemmerliede en Spaarnwoude,2010,5398,470,68
Haarlemmermeer,2010,142788,13470,2062
Halderberge,2010,29291,1700,382
Hardenberg,2010,59014,2560,683
Harderwijk,2010,44010,3155,754
Hardinxveld-Giessendam,2010,17497,590,210
Haren,2010,18516,790,160
Harenkarspel,2010,16086,655,355.328
Harlingen,2010,15809,985,337
Hattem,2010,11792,560,946
Heemskerk,2010,38848,2035,933
Heemstede,2010,26058,1510,424
Heerde,2010,18313,860,192
Heerenveen,2010,43418,2360,191
Heerhugowaard,2010,51178,3415,532
Heerlen,2010,89236,9570,11023
Heeze-Leende,2010,15260,800,74
Heiloo,2010,22451,1150,263
Den Helder,2010,57403,4775,1543
Hellendoorn,2010,35791,1175,631
Hellevoetsluis,2010,39756,2090,1639
Helmond,2010,88291,7455,1555
Hendrik-Ido-Ambacht,2010,26897,1040,330
Hengelo (O.),2010,80772,5330,2365
's-Hertogenbosch,2010,139607,14345,9702
Heumen,2010,16632,840,216
Heusden,2010,42995,2015,1062.045
Hillegom,2010,20484,1165,529
Hilvarenbeek,2010,14978,695,174
Hilversum,2010,84573,8070,1793
Hof van Twente,2010,35468,1275,505
Hoogeveen,2010,54805,3820,2195
Hoogezand-Sappemeer,2010,34754,2120,454
Hoorn,2010,70252,6300,2684
Horst aan de Maas,2010,41465,1725,189
Houten,2010,47622,2085,1394
Huizen,2010,41934,2320,522
Hulst,2010,27860,1210,654
IJsselstein,2010,34226,2075,287.018
Kaag en Braassem,2010,25642,1070,889
Kampen,2010,50051,2160,1340
Kapelle,2010,12402,385,156
Katwijk,2010,61828,2920,1384
Kerkrade,2010,47684,3520,1758
Koggenland,2010,21969,875,231
Kollumerland en Nieuwkruisland,2010,13005,325,280
Korendijk,2010,10891,235,204
Krimpen aan den IJssel,2010,28812,1145,556
Laarbeek,2010,21581,755,370
Landerd,2010,14888,655,226
Landgraaf,2010,38457,2310,1238
Landsmeer,2010,10233,520,199
Langedijk,2010,26955,1265,41
Lansingerland,2010,52565,2510,1290
Laren (NH.),2010,11323,895,253
Leek,2010,19364,885,647
Leerdam,2010,20745,925,614
Leeuwarden,2010,94073,8765,3560
Leeuwarderadeel,2010,10435,335,54
Leiden,2010,117123,11340,2162
Leiderdorp,2010,26426,1690,357
Leidschendam-Voorburg,2010,72160,5165,1774
Lelystad,2010,74628,5435,2202
Lemsterland,2010,13623,800,304
Leudal,2010,36741,1530,540
Leusden,2010,28812,1415,654
Liesveld,2010,9740,265,138
Lingewaal,2010,10899,365,53
Lingewaard,2010,45445,1880,1248
Lisse,2010,22335,1315,237
Lith,2010,6651,180,161
Littenseradiel,2010,10924,190,98
Lochem,2010,33395,1270,401
Loenen,2010,8504,375,160
Loon op Zand,2010,23016,1620,288
Lopik,2010,14174,380,179
Loppersum,2010,10452,345,155
Losser,2010,22647,830,304
Maarssen,2010,39663,2440,892
Maasdonk,2010,11268,565,184
Maasdriel,2010,23756,1230,299
Maasgouw,2010,24275,1015,336
Maassluis,2010,31591,1975,1080
Maastricht,2010,118533,14725,4483
Margraten,2010,13404,475,151
De Marne,2010,10527,310,61
Marum,2010,10449,360,57
Medemblik,2010,27384,1410,525
Meerssen,2010,19565,1145,266
Menaldumadeel,2010,13748,360,107
Menterwolde,2010,12503,585,154
Meppel,2010,32378,1780,1149
Middelburg (Z.),2010,47997,3120,407
Middelharnis,2010,17950,795,636
Midden-Delfland,2010,17890,810,916
Midden-Drenthe,2010,33560,1445,248
Mill en Sint Hubert,2010,11031,410,212
Millingen aan de Rijn,2010,5914,150,93
Moerdijk,2010,36536,2160,901
Montferland,2010,35179,1630,285
Montfoort,2010,13494,540,167
Mook en Middelaar,2010,8049,480,240
Muiden,2010,6500,590,20.211
Naarden,2010,17152,965,509
Neder-Betuwe,2010,22553,960,183
Nederlek,2010,14087,560,180
Nederweert,2010,16607,620,255
Neerijnen,2010,11880,505,93
Niedorp,2010,12137,380,105
Nieuwegein,2010,60896,4180,2294
Nieuwkoop,2010,26929,960,716
Nieuw-Lekkerland,2010,9530,235,52
Nijefurd,2010,10947,420,21
Nijkerk,2010,39538,1860,280
Nijmegen,2010,162963,16640,7374
Noord-Beveland,2010,7397,375,44
Noordenveld,2010,30808,1440,447
Noordoostpolder,2010,46090,2125,661
Noordwijk,2010,25407,2065,1738
Noordwijkerhout,2010,15555,765,429
"Nuenen,2010,0,0,0
Nunspeet,2010,26728,1185,303
Nuth,2010,15667,770,28
Oegstgeest,2010,22597,1110,416
Oirschot,2010,17750,1020,130
Oisterwijk,2010,25827,1635,1253
Oldambt,2010,39486,2545,1603
Oldebroek,2010,22750,945,244
Oldenzaal,2010,31974,1735,757
Olst-Wijhe,2010,17540,635,287
Ommen,2010,17404,745,120
Onderbanken,2010,8109,415,170
Oost Gelre,2010,30026,1155,622
Oosterhout,2010,54136,3980,3030
Oostflakkee,2010,10365,335,208
Ooststellingwerf,2010,26235,1085,180
Oostzaan,2010,9149,540,286
Opmeer,2010,11386,445,226
Opsterland,2010,30039,875,514
Oss,2010,77392,6140,3199
Oud-Beijerland,2010,23555,1130,271
Oude IJsselstreek,2010,39897,1565,656
Ouder-Amstel,2010,13099,1515,211
Ouderkerk,2010,8151,230,94
Oudewater,2010,9843,405,125
Overbetuwe,2010,45577,2245,615
Papendrecht,2010,31853,1495,317
Peel en Maas,2010,43058,1970,232
Pekela,2010,13054,770,70
Pijnacker-Nootdorp,2010,48013,2590,610
Purmerend,2010,79038,5170,3348
Putten,2010,23592,1190,382
Raalte,2010,36796,1125,391
Reeuwijk,2010,13060,785,374
Reimerswaal,2010,21476,880,75
Renkum,2010,31656,1940,606.64
Renswoude,2010,4602,215,8
Reusel-De Mierden,2010,12555,565,235
Rheden,2010,43724,2780,201
Rhenen,2010,18860,945,224
Ridderkerk,2010,44746,2325,329
Rijnwaarden,2010,11080,335,171
Rijnwoude,2010,18547,690,190
Rijssen-Holten,2010,37080,1310,862
Rijswijk (ZH.),2010,46672,4090,440
Roerdalen,2010,21307,830,972
Roermond,2010,55212,5460,3450
De Ronde Venen,2010,34400,1660,753
Roosendaal,2010,77566,6970,4264
Rotterdam,2010,593049,66990,
Rozenburg,2010,12494,560,0
Rozendaal,2010,1495,105,35
Rucphen,2010,22484,1355,433
Schagen,2010,18736,1460,351
Schermer,2010,5360,185,67
Scherpenzeel,2010,9316,320,124
Schiedam,2010,75565,6245,6597
Schiermonnikoog,2010,942,30,79
Schijndel,2010,22991,1215,350
Schinnen,2010,13494,710,142
Schoonhoven,2010,11985,630,267
Schouwen-Duiveland,2010,34118,2375,1422
Simpelveld,2010,10996,325,295
Sint Anthonis,2010,11842,355,229
Sint-Michielsgestel,2010,28138,1090,421
Sint-Oedenrode,2010,17680,755,196
Sittard-Geleen,2010,95243,8540,5246.018
Skarsterlân,2010,27289,1200,
Sliedrecht,2010,24051,1220,416
Slochteren,2010,15555,465,103
Sluis,2010,24089,1380,254
Smallingerland,2010,55271,3035,966
Sneek,2010,33431,2285,463
Soest,2010,45680,2210,1109
Someren,2010,18229,815,117
Son en Breugel,2010,15543,855,448
Spijkenisse,2010,72345,4460,3247
Stadskanaal,2010,33416,2175,646
Staphorst,2010,16153,485,82
Stede Broec,2010,21274,1440,77
Steenbergen,2010,23224,1090,334
Steenwijkerland,2010,43208,1955,688
Stein (L.),2010,25673,1270,457
Strijen,2010,8916,305,251
Terneuzen,2010,54878,3630,1936
Terschelling,2010,4733,405,345
Texel,2010,13779,850,584
Teylingen,2010,35759,1625,888
Tholen,2010,25410,940,219
Tiel,2010,41192,3165,2153
Tilburg,2010,204853,19115,16404
Tubbergen,2010,21145,560,325
Twenterand,2010,33580,1005,264
Tynaarlo,2010,32408,1060,232
Tytsjerksteradiel,2010,32237,1070,656
Ubbergen,2010,9333,330,53
Uden,2010,40536,2935,1461
Uitgeest,2010,12664,920,198
Uithoorn,2010,28053,1450,848
Urk,2010,18310,750,127
Utrecht (gemeente),2010,307081,35840,26623
Utrechtse Heuvelrug,2010,48801,2975,936
Vaals,2010,9870,600,187
Valkenburg aan de Geul,2010,17090,1520,787
Valkenswaard,2010,30725,2215,663
Veendam,2010,28024,1710,765
Veenendaal,2010,62053,3805,1775
Veere,2010,21914,1360,502
Veghel,2010,37303,2205,1103
Veldhoven,2010,43243,2370,923
Velsen,2010,67281,4390,1302
Venlo,2010,100301,9265,5954
Venray,2010,42718,3275,1020
Vianen,2010,19647,1000,427
Vlaardingen,2010,70533,5330,3231
Vlagtwedde,2010,16260,930,162.472
Vlieland,2010,1160,120,63
Vlissingen,2010,44645,3305,2080.43
Vlist,2010,9753,330,208
Voerendaal,2010,12703,465,117
Voorschoten,2010,23462,1145,338
Voorst,2010,23772,1290,278
Vught,2010,25400,1555,306
Waalre,2010,16533,685,86
Waalwijk,2010,45751,3190,1128
Waddinxveen,2010,25400,1230,401
Wageningen,2010,37359,2740,385
Wassenaar,2010,25816,1430,1104
Waterland,2010,17057,765,409
Weert,2010,48456,4285,1344
Weesp,2010,17636,1295,269.745
Werkendam,2010,26371,1030,291
Wervershoof,2010,8780,525,143
West Maas en Waal,2010,18413,650,133
Westerveld,2010,19342,695,203
Westervoort,2010,15237,725,344
Westland,2010,99717,6155,4821
Weststellingwerf,2010,25829,1085,471
Westvoorne,2010,14057,540,644
Wierden,2010,23447,780,219
Wieringen,2010,8644,355,37.749
Wieringermeer,2010,12580,655,284
Wijchen,2010,40148,2230,717
Wijdemeren,2010,23391,1110,404
Wijk bij Duurstede,2010,23157,925,397
Winsum,2010,14073,370,223
Winterswijk,2010,29051,1395,971
Woensdrecht,2010,21635,1115,401
Woerden,2010,49334,2740,374
De Wolden,2010,23576,565,89
Wormerland,2010,15862,585,217
Woudenberg,2010,11905,505,278
Woudrichem,2010,14430,475,137
Wûnseradiel,2010,11829,425,
Wymbritseradiel,2010,16138,480,344
Zaanstad,2010,145332,10060,1968
Zaltbommel,2010,26428,1780,1520
Zandvoort,2010,16632,1515,234.528
Zederik,2010,13397,385,142
Zeevang,2010,6307,165,271
Zeewolde,2010,20906,1230,398
Zeist,2010,60286,4650,2588
Zevenaar,2010,31907,1705,449
Zijpe,2010,11587,570,585
Zoetermeer,2010,121532,9830,2192
Zoeterwoude,2010,8118,365,15
Zuidhorn,2010,18568,520,203
Zuidplas,2010,40410,2105,736
Zundert,2010,21025,1190,752
Zutphen,2010,46870,3615,2200
Zwartewaterland,2010,21935,725,314
Zwijndrecht,2010,44404,2310,387
Zwolle,2010,119030,9720,3766.972
"© Centraal Bureau voor de Statistiek,2010,0,0,
