Municipality,Year,Population,Crime,Finance
Aa en Hunze,2011,25785,945,204
Aalburg,2011,12685,490,155
Aalsmeer,2011,30189,1480,122
Aalten,2011,27439,775,975
Achtkarspelen,2011,28123,950,340
Alblasserdam,2011,19208,885,502
Albrandswaard,2011,24674,1205,307
Alkmaar,2011,93936,9480,3699
Almelo,2011,72599,4895,532
Almere,2011,190655,14590,7900
Alphen aan den Rijn,2011,72680,4765,1793
Alphen-Chaam,2011,9466,470,109
Ameland,2011,3503,165,78
Amersfoort,2011,146592,10495,4668
Amstelveen,2011,81796,5135,1588
Amsterdam,2011,779808,103375,40191
Anna Paulowna,2011,14260,525,529
Apeldoorn,2011,156199,12225,2697
Appingedam,2011,12090,665,209
Arnhem,2011,148070,16640,1814
Assen,2011,67177,4945,1339
Asten,2011,16296,950,513
Baarle-Nassau,2011,6704,340,232
Baarn,2011,24379,1645,451
Barendrecht,2011,46831,2550,880
Barneveld,2011,53026,2715,810
Bedum,2011,10495,370,126
Beek (L.),2011,16548,1410,333
Beemster,2011,8573,375,209
Beesel,2011,13844,645,137
Bellingwedde,2011,9402,300,9
Berg en Dal,2011,0,0,
Bergambacht,2011,9801,325,123
Bergeijk,2011,18073,835,102
Bergen (L.),2011,13350,525,345
Bergen (NH.),2011,30868,1625,948
Bergen op Zoom,2011,66074,4815,3576
Berkelland,2011,44863,1560,773
Bernheze,2011,29728,1285,360
Bernisse,2011,12404,485,705
Best,2011,28810,1870,1015
Beuningen,2011,25507,1265,471
Beverwijk,2011,39329,3335,948
het Bildt,2011,10937,315,126
De Bilt,2011,42049,2275,737
Binnenmaas,2011,28967,1090,534
Bladel,2011,19386,1035,691
Blaricum,2011,8959,485,337
Bloemendaal,2011,22039,1580,426
Boarnsterhim,2011,19298,785,386
Bodegraven-Reeuwijk,2011,32728,1965,701
Boekel,2011,9865,320,53
Ten Boer,2011,7454,185,19
Borger-Odoorn,2011,25941,880,353
Borne,2011,21557,730,342
Borsele,2011,22707,715,184
Boskoop,2011,15045,850,563
Boxmeer,2011,28582,1325,1129
Boxtel,2011,30280,1820,347
Breda,2011,174599,17630,5210.053
Brielle,2011,15978,1020,546
Bronckhorst,2011,37677,1180,58
Brummen,2011,21219,1165,298
Brunssum,2011,29375,2030,555
Bunnik,2011,14437,770,312
Bunschoten,2011,20111,700,312
Buren,2011,26013,965,449
Bussum,2011,32410,2930,300
Capelle aan den IJssel,2011,66104,4770,3239
Castricum,2011,34593,1785,532
Coevorden,2011,36067,2005,235
Cranendonck,2011,20371,955,332
Cromstrijen,2011,12789,515,226
Cuijk,2011,24580,1365,604
Culemborg,2011,27584,2165,932
Dalfsen,2011,27313,820,411
Dantumadiel,2011,19310,415,403
Delft,2011,97690,8375,2656
Delfzijl,2011,26567,1240,524
Deurne,2011,31676,1555,903
Deventer,2011,98737,7260,2223
Diemen,2011,25012,1830,900
Dinkelland,2011,26067,750,774
Dirksland,2011,8408,295,48
Doesburg,2011,11636,725,235
Doetinchem,2011,56037,3675,762
Dongen,2011,25101,1220,433
Dongeradeel,2011,24292,835,402
Dordrecht,2011,118810,10930,5748
Drechterland,2011,19335,790,328
Drimmelen,2011,26477,1030,782
Dronten,2011,40164,2485,637
Druten,2011,18097,670,288
Duiven,2011,25550,1180,403
Echt-Susteren,2011,32264,1825,414
Edam-Volendam,2011,28583,1240,204
Ede,2011,108285,6765,1742
Eemnes,2011,8845,375,277
Eemsmond,2011,16357,625,247
Eersel,2011,18166,970,40
Eijsden-Margraten,2011,24940,1105,798
Eindhoven,2011,216036,25595,13997
Elburg,2011,22310,1040,384
Emmen,2011,109259,6425,811
Enkhuizen,2011,18173,1520,585
Enschede,2011,157838,14265,351
Epe,2011,32875,1720,751
Ermelo,2011,26133,1755,368
Etten-Leur,2011,41800,2795,949
Ferwerderadiel,2011,8864,245,31
Franekeradeel,2011,20755,775,171
De Friese Meren,2011,0,0,
De Fryske Marren,2011,0,0,
Gaasterlân-Sleat,2011,10225,,
Geertruidenberg,2011,21307,1130,549
Geldermalsen,2011,26224,1535,199
Geldrop-Mierlo,2011,38389,2350,974
Gemert-Bakel,2011,28906,1405,298
Gennep,2011,17383,920,226
Giessenlanden,2011,14427,390,150
Gilze en Rijen,2011,25764,1670,163
Goedereede,2011,11409,595,384.303
Goeree-Overflakkee,2011,0,0,
Goes,2011,36665,2765,1043
Goirle,2011,22807,1195,326
Gooise Meren,2011,0,0,
Gorinchem,2011,34895,2545,1975
Gouda,2011,71047,7120,3816
Graafstroom,2011,9807,275,18
Graft-De Rijp,2011,6483,245,79.85
Grave,2011,13031,540,700
's-Gravenhage (gemeente),2011,495083,57020,19563
Groesbeek,2011,18870,945,258
Groningen (gemeente),2011,189991,18500,205
Grootegast,2011,12209,305,140
Gulpen-Wittem,2011,14496,685,307
Haaksbergen,2011,24448,1000,1062
Haaren,2011,13630,525,132
Haarlem,2011,150670,13115,16300
Haarlemmerliede en Spaarnwoude,2011,5432,410,81
Haarlemmermeer,2011,143374,13675,2326
Halderberge,2011,29292,1680,439
Hardenberg,2011,59283,2645,660
Harderwijk,2011,44932,3165,764
Hardinxveld-Giessendam,2011,17535,635,232
Haren,2011,18515,810,151
Harenkarspel,2011,16179,645,555.813
Harlingen,2011,15878,895,408
Hattem,2011,11762,565,176
Heemskerk,2011,39206,1830,843
Heemstede,2011,26297,1475,422
Heerde,2011,18300,775,209
Heerenveen,2011,43454,2650,176
Heerhugowaard,2011,51985,3625,571
Heerlen,2011,89212,9615,12168
Heeze-Leende,2011,15295,700,191
Heiloo,2011,22580,1210,416
Den Helder,2011,57207,4415,1632
Hellendoorn,2011,35747,1235,598
Hellevoetsluis,2011,39739,2245,1113
Helmond,2011,88560,7220,1777
Hendrik-Ido-Ambacht,2011,27616,1200,459
Hengelo (O.),2011,80747,5845,2030
's-Hertogenbosch,2011,140786,13720,10125
Heumen,2011,16494,780,252
Heusden,2011,43119,2075,1099.845
Hillegom,2011,20627,1240,708
Hilvarenbeek,2011,15035,745,147
Hilversum,2011,84984,7345,1943
Hof van Twente,2011,35573,1370,415
Hollands Kroon,2011,0,0,
Hoogeveen,2011,54844,4020,1629
Hoogezand-Sappemeer,2011,34814,2160,545
Hoorn,2011,70697,5980,2727
Horst aan de Maas,2011,41814,1810,157
Houten,2011,47935,2045,1073
Huizen,2011,41726,2525,863
Hulst,2011,27719,1370,746
IJsselstein,2011,34348,1735,394.682
Kaag en Braassem,2011,25744,1175,1106
Kampen,2011,50403,2190,1258
Kapelle,2011,12365,445,30
Katwijk,2011,62044,2565,982
Kerkrade,2011,47409,3900,1763
Koggenland,2011,22082,985,296
Kollumerland en Nieuwkruisland,2011,12930,340,260
Korendijk,2011,10848,310,198
Krimpen aan den IJssel,2011,28626,1305,697
Krimpenerwaard,2011,0,0,
Laarbeek,2011,21532,795,334
Landerd,2011,14941,650,107
Landgraaf,2011,38186,2545,1169
Landsmeer,2011,10253,655,187
Langedijk,2011,26997,1375,60
Lansingerland,2011,54090,2695,1909
Laren (NH.),2011,11418,720,276
Leek,2011,19333,935,644
Leerdam,2011,20692,975,705
Leeuwarden,2011,94838,9040,3554
Leeuwarderadeel,2011,10377,325,81
Leiden,2011,117915,11425,1494
Leiderdorp,2011,26609,1570,319
Leidschendam-Voorburg,2011,72068,5575,1812
Lelystad,2011,75111,5270,1833
Lemsterland,2011,13621,625,327
Leudal,2011,36600,1620,529
Leusden,2011,28609,1130,566
Liesveld,2011,9746,255,17
Lingewaal,2011,10878,365,128
Lingewaard,2011,45589,1910,1350
Lisse,2011,22685,1285,328
Littenseradiel,2011,10998,180,104
Lochem,2011,33278,1170,410
Loon op Zand,2011,22973,1470,192
Lopik,2011,14121,395,297
Loppersum,2011,10478,310,241
Losser,2011,22664,925,272
Maasdonk,2011,11254,495,172
Maasdriel,2011,23970,1275,326
Maasgouw,2011,24272,1095,373
Maassluis,2011,31910,2070,1121
Maastricht,2011,119664,15605,4370
De Marne,2011,10501,325,136
Marum,2011,10471,325,86
Medemblik,2011,42891,2120,861
Meerssen,2011,19495,1270,248
Menameradiel,2011,13774,360,126
Menterwolde,2011,12385,565,197
Meppel,2011,32511,1830,1142
Middelburg (Z.),2011,48030,3320,493
Middelharnis,2011,18050,795,443
Midden-Delfland,2011,18154,840,852
Midden-Drenthe,2011,33581,1280,238
Mill en Sint Hubert,2011,11000,365,910
Millingen aan de Rijn,2011,5921,145,96
Moerdijk,2011,36547,2045,956
Molenwaard,2011,0,0,
Montferland,2011,34976,1385,280
Montfoort,2011,13500,410,193
Mook en Middelaar,2011,7947,450,126
Muiden,2011,6499,635,21.876
Naarden,2011,17185,950,669
Neder-Betuwe,2011,22620,995,203
Nederlek,2011,13994,540,173
Nederweert,2011,16678,650,262
Neerijnen,2011,11843,480,100
Niedorp,2011,12222,415,105
Nieuwegein,2011,60947,4160,2400
Nieuwkoop,2011,26988,920,804
Nieuw-Lekkerland,2011,9541,230,8
Nijkerk,2011,39788,1960,232
Nijmegen,2011,164223,16535,5934
Nissewaard,2011,0,0,
Noord-Beveland,2011,7474,405,47
Noordenveld,2011,30794,1315,415
Noordoostpolder,2011,46253,2060,843
Noordwijk,2011,25438,2130,1904
Noordwijkerhout,2011,15601,800,450
Nuenen,2011,0,0,0
Nunspeet,2011,26685,1215,322
Nuth,2011,15595,905,56
Oegstgeest,2011,22767,1100,259
Oirschot,2011,17845,995,101
Oisterwijk,2011,25721,1795,1237
Oldambt,2011,39396,2725,1260
Oldebroek,2011,22659,905,292
Oldenzaal,2011,32176,1690,687
Olst-Wijhe,2011,17502,490,276
Ommen,2011,17329,750,102
Onderbanken,2011,8016,410,199
Oost Gelre,2011,30113,1095,605
Oosterhout,2011,54072,4020,1786
Oostflakkee,2011,10406,390,195
Ooststellingwerf,2011,26004,955,185
Oostzaan,2011,9114,550,450
Opmeer,2011,11420,405,223
Opsterland,2011,29991,780,548
Oss,2011,84201,6255,6516
Oud-Beijerland,2011,23536,1045,175
Oude IJsselstreek,2011,39922,1525,636
Ouder-Amstel,2011,13146,1535,201
Ouderkerk,2011,8141,240,185
Oudewater,2011,9815,375,148
Overbetuwe,2011,45953,2365,826
Papendrecht,2011,31883,1475,315
Peel en Maas,2011,43188,1860,184
Pekela,2011,12954,780,92
Pijnacker-Nootdorp,2011,49286,2570,497
Purmerend,2011,79193,5290,3352
Putten,2011,23746,1175,457
Raalte,2011,36688,1215,695
Reimerswaal,2011,21614,900,87
Renkum,2011,31559,1945,650
Renswoude,2011,4752,170,10
Reusel-De Mierden,2011,12606,590,169
Rheden,2011,43982,2770,353
Rhenen,2011,18951,875,31
Ridderkerk,2011,44889,2385,324
Rijnwaarden,2011,11010,310,139
Rijnwoude,2011,18465,795,323
Rijssen-Holten,2011,37433,1550,861
Rijswijk (ZH.),2011,46671,4540,355
Roerdalen,2011,21239,930,1015
Roermond,2011,55595,5930,4036
De Ronde Venen,2011,43004,2085,828
Roosendaal,2011,77541,6360,4200
Rotterdam,2011,610386,72665,91211.838
Rozendaal,2011,1512,120,36
Rucphen,2011,22430,1130,422
Schagen,2011,18671,1295,194
Schermer,2011,5359,195,90
Scherpenzeel,2011,9327,350,112
Schiedam,2011,75718,6520,5185
Schiermonnikoog,2011,957,50,77
Schijndel,2011,23044,1130,355
Schinnen,2011,13408,690,159
Schoonhoven,2011,11922,570,295
Schouwen-Duiveland,2011,34203,2425,1748
Simpelveld,2011,10953,360,327
Sint Anthonis,2011,11796,315,249
Sint-Michielsgestel,2011,28114,1025,449
Sint-Oedenrode,2011,17818,920,227
Sittard-Geleen,2011,94814,8910,5376
Skarsterlân,2011,27376,,
Sliedrecht,2011,24061,1255,564
Slochteren,2011,15546,475,69
Sluis,2011,23979,1420,211
Smallingerland,2011,55436,3120,1004
Soest,2011,45611,2080,1418
Someren,2011,18317,730,127
Son en Breugel,2011,15653,875,346
Spijkenisse,2011,72244,5115,2965
Stadskanaal,2011,33122,2175,742
Staphorst,2011,16179,500,97
Stede Broec,2011,21402,1290,55
Steenbergen,2011,23273,1145,187
Steenwijkerland,2011,43281,2065,1345
Stein (L.),2011,25709,1390,472
Stichtse Vecht,2011,63050,4135,2113
Strijen,2011,8868,285,253
Súdwest-Fryslân,2011,82445,,
Terneuzen,2011,54823,3210,1834
Terschelling,2011,4721,520,424
Texel,2011,13728,770,524
Teylingen,2011,35812,1665,1004
Tholen,2011,25489,1015,143
Tiel,2011,41181,4060,2038
Tilburg,2011,206240,18225,15710
Tubbergen,2011,21171,535,617
Twenterand,2011,33727,1100,282
Tynaarlo,2011,32450,1175,347
Tytsjerksteradiel,2011,32178,1060,451
Ubbergen,2011,9358,325,62
Uden,2011,40721,2670,2403
Uitgeest,2011,12819,865,286
Uithoorn,2011,28114,1320,927
Urk,2011,18678,635,151
Utrecht (gemeente),2011,311367,34420,32369
Utrechtse Heuvelrug,2011,48726,2610,797
Vaals,2011,9805,535,198
Valkenburg aan de Geul,2011,17024,1415,823
Valkenswaard,2011,30622,1890,580
Veendam,2011,27981,1640,3189
Veenendaal,2011,62267,3845,1818
Veere,2011,21926,1250,755
Veghel,2011,37476,2225,1287
Veldhoven,2011,43592,2275,1016
Velsen,2011,67347,4310,1139
Venlo,2011,99793,8715,5654
Venray,2011,42784,3095,960
Vianen,2011,19683,1140,429
Vlaardingen,2011,71269,5980,3264
Vlagtwedde,2011,16290,885,250
Vlieland,2011,1151,115,72
Vlissingen,2011,44536,3315,1868.879
Vlist,2011,9806,375,248
Voerendaal,2011,12664,565,150
Voorschoten,2011,23865,1185,432
Voorst,2011,23703,1060,327
Vught,2011,25654,1420,251
Waalre,2011,16482,630,100
Waalwijk,2011,46211,3160,1194
Waddinxveen,2011,25337,1175,401
Wageningen,2011,36642,2465,384
Wassenaar,2011,25830,1560,1322
Waterland,2011,17140,835,49
Weert,2011,48563,3605,1492
Weesp,2011,17987,1305,1354
Werkendam,2011,26353,1095,297
West Maas en Waal,2011,18301,730,129
Westerveld,2011,19365,640,221
Westervoort,2011,15336,705,340
Westland,2011,99776,6255,5198
Weststellingwerf,2011,25846,1055,335
Westvoorne,2011,13992,670,702
Wierden,2011,23630,755,285
Wieringen,2011,8619,295,54
Wieringermeer,2011,12576,665,247
Wijchen,2011,40507,2235,718
Wijdemeren,2011,23312,1070,312
Wijk bij Duurstede,2011,23115,830,420
Winsum,2011,14054,340,186
Winterswijk,2011,29026,1365,351
Woensdrecht,2011,21682,1155,465
Woerden,2011,49748,2570,575
De Wolden,2011,23637,630,151
Wormerland,2011,15801,650,419
Woudenberg,2011,12008,460,252
Woudrichem,2011,14423,500,226
Zaanstad,2011,146940,10200,2615
Zaltbommel,2011,26643,1685,1466
Zandvoort,2011,16632,1425,191.901
Zederik,2011,13342,495,184
Zeevang,2011,6350,175,245
Zeewolde,2011,21106,1080,289
Zeist,2011,60824,4580,2647
Zevenaar,2011,32234,1690,478
Zijpe,2011,11577,630,624
Zoetermeer,2011,121911,9610,2187
Zoeterwoude,2011,8130,345,18
Zuidhorn,2011,18631,555,199
Zuidplas,2011,40521,2260,701
Zundert,2011,21163,1240,520
Zutphen,2011,47084,3255,2156
Zwartewaterland,2011,22018,770,324
Zwijndrecht,2011,44445,2575,363
Zwolle,2011,120355,9270,3418.796
© Centraal Bureau voor de Statistiek,2011,0,,
