Municipality,Year,Population,Crime,Finance
Aa en Hunze,2015,25203,645,297
Aalburg,2015,12922,385,0
Aalsmeer,2015,31077,1105,0
Aalten,2015,26904,615,434
Achtkarspelen,2015,27983,735,247
Alblasserdam,2015,19845,840,184
Albrandswaard,2015,25148,1120,115
Alkmaar,2015,107106,7525,5244
Almelo,2015,72291,4120,979
Almere,2015,196932,11915,9190
Alphen aan den Rijn,2015,107396,4485,4558
Alphen-Chaam,2015,9753,435,0
Ameland,2015,3590,135,20
Amersfoort,2015,152481,8930,3447
Amstelveen,2015,87162,4365,2026
Amsterdam,2015,821752,96125,69319
Anna Paulowna,2015,0,0,
Apeldoorn,2015,158099,8920,4904
Appingedam,2015,12011,445,0
Arnhem,2015,152293,12620,4891
Assen,2015,67165,3845,0
Asten,2015,16559,860,585
Baarle-Nassau,2015,6599,315,280
Baarn,2015,24406,1245,761
Barendrecht,2015,47521,1960,438
Barneveld,2015,54703,2175,162
Bedum,2015,10441,260,127
Beek (L.),2015,16214,1090,375
Beemster,2015,8903,255,259
Beesel,2015,13511,435,170
Bellingwedde,2015,9154,220,139
Berg en Dal,2015,0,0,
Bergambacht,2015,0,0,
Bergeijk,2015,18209,640,455
Bergen (L.),2015,13152,465,238
Bergen (NH.),2015,30005,1265,1099
Bergen op Zoom,2015,66320,4130,2841
Berkelland,2015,44364,1190,112
Bernheze,2015,29729,1165,435
Bernisse,2015,0,0,
Best,2015,28737,1440,1073
Beuningen,2015,25282,910,369
Beverwijk,2015,40182,2695,1447
het Bildt,2015,10592,250,168
De Bilt,2015,42169,1885,536
Binnenmaas,2015,28656,840,518
Bladel,2015,19869,880,605
Blaricum,2015,9312,475,399
Bloemendaal,2015,22256,1180,426
Boarnsterhim,2015,0,0,
Bodegraven-Reeuwijk,2015,33208,1320,392
Boekel,2015,10119,300,0
Ten Boer,2015,7452,140,0
Borger-Odoorn,2015,25502,700,255
Borne,2015,21992,715,105
Borsele,2015,22568,560,458
Boskoop,2015,0,0,
Boxmeer,2015,28342,1155,1381
Boxtel,2015,30337,1500,404
Breda,2015,180937,13540,0
Brielle,2015,16467,885,428
Bronckhorst,2015,36726,805,59
Brummen,2015,20983,745,449
Brunssum,2015,28656,1865,1142
Bunnik,2015,14662,680,252
Bunschoten,2015,20647,760,392
Buren,2015,26117,715,2056
Bussum,2015,32870,1795,343
Capelle aan den IJssel,2015,66478,3650,2951
Castricum,2015,34361,1405,725
Coevorden,2015,35535,1425,448
Cranendonck,2015,20542,860,0
Cromstrijen,2015,12784,415,307
Cuijk,2015,24649,1060,1843
Culemborg,2015,27560,1615,0
